steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
33,1,35.163778994348185,33,35.163778994348185,32.0,32.0
65,2,76.3542775304637,32,41.19049853611552,63.0,32.0
95,3,103.61061638783012,30,27.25633885736642,92.0,32.0
133,4,159.03664768964086,38,55.42603130181076,129.0,37.0
178,5,204.10890719286505,45,45.07225950322408,173.0,44.0
207,6,245.14868176820542,29,41.03977457534042,201.0,44.0
237,7,258.65009982034917,30,13.501418052143727,230.0,44.0
268,8,260.5616094704689,31,1.9115096501197066,260.0,44.0
318,9,296.40394266867384,50,35.84233319820505,309.0,49.0
363,10,344.4645108640697,45,48.060568195395795,353.0,49.0
433,12,428.18435031225624,32,38.34005642991748,421.0,49.0
495,14,488.3042251686595,32,3.334607729440335,481.0,49.0
598,17,587.1490994713395,37,35.695481199628375,581.0,49.0
780,20,760.8576502553549,80,44.296302589768295,760.0,79.0
1014,25,1002.8592737727714,62,61.93449524321228,989.0,79.0
1241,30,1260.7408918721853,32,52.433210804857524,1211.0,80.0
4224,40,4373.36781131671,512,553.3258920421262,4184.0,568.0
11057,50,11102.160773421572,499,544.360968216164,11007.0,953.0
15532,60,15430.656210499583,195,144.7728836282802,15473.0,1001.0
18463,70,18155.11491392601,208,173.9529969593974,18394.0,1001.0
23083,80,22689.101495516465,519,572.4921249146629,23004.0,1001.0
26548,90,26154.43344844526,286,267.7848556905457,26459.0,1001.0
33556,100,33699.306750346324,983,1008.9983194618037,33461.0,1001.0
50279,120,50521.68179300609,190,200.35754627264612,50175.0,1001.0
63253,140,63766.83487340366,1001,1063.8034051707693,63139.0,1001.0
93107,170,94939.00916165569,1001,998.9691635553294,92990.0,1001.0
121400,200,123559.52171163287,608,652.9333045704548,121278.0,1001.0
166360,250,167736.1438598918,359,370.98427702248574,166224.0,1001.0
211924,300,212969.11784591805,1001,878.3756539542787,211781.0,1001.0
291690,400,293531.70526382065,191,174.76350820751026,291494.0,1001.0
357324,500,360192.63482031634,319,298.6340400560376,357052.0,1001.0
443721,600,446510.1884434441,1001,981.0171559226586,443409.0,1001.0
534272,700,537305.1494837584,949,1084.6739307292366,533932.0,1001.0
604749,800,606558.0360697504,1001,857.629058126773,604358.0,1001.0
673825,900,677518.6967318055,1001,967.3412397363026,673371.0,1001.0
739085,1000,742670.224994348,1001,782.6511656902297,738562.0,1001.0
