steps,episode,total_return,episode_len,episode_return,raw_return
346,1,-346000.0,346,-346000.0,-346.0
592,2,-592000.0,246,-246000.0,-592.0
1079,3,-1079000.0,487,-487000.0,-1079.0
2079,4,-2079000.0,1000,-1000000.0,-2079.0
3079,5,-3079000.0,1000,-1000000.0,-3079.0
4079,6,-4079000.0,1000,-1000000.0,-4079.0
5079,7,-5079000.0,1000,-1000000.0,-5079.0
6079,8,-6079000.0,1000,-1000000.0,-6079.0
7079,9,-7079000.0,1000,-1000000.0,-7079.0
8079,10,-8079000.0,1000,-1000000.0,-8079.0
10079,12,-10079000.0,1000,-1000000.0,-10079.0
11446,14,-11446000.0,893,-893000.0,-11446.0
14385,17,-14385000.0,1000,-1000000.0,-14385.0
17149,20,-17149000.0,856,-856000.0,-17149.0
