steps,episode,total_return,episode_len,episode_return,total_regret
20,1,4.0,20,4.0,0.0
40,2,12.0,20,8.0,0.0
60,3,6.0,20,-6.0,0.0
80,4,-2.0,20,-8.0,2.0
100,5,-8.0,20,-6.0,2.0
120,6,-12.0,20,-4.0,4.0
140,7,-16.0,20,-4.0,4.0
160,8,-16.0,20,0.0,4.0
180,9,-8.0,20,8.0,6.0
200,10,-6.0,20,2.0,6.0
240,12,-4.0,20,0.0,8.0
280,14,2.0,20,8.0,12.0
340,17,-12.0,20,-2.0,14.0
400,20,-10.0,20,0.0,16.0
500,25,-12.0,20,6.0,22.0
600,30,0.0,20,0.0,30.0
800,40,-6.0,20,6.0,38.0
1000,50,-12.0,20,0.0,46.0
1200,60,-42.0,20,0.0,60.0
1400,70,-24.0,20,-2.0,72.0
1600,80,-16.0,20,4.0,84.0
1800,90,-12.0,20,4.0,92.0
2000,100,-12.0,20,0.0,98.0
2400,120,-8.0,20,2.0,124.0
2800,140,6.0,20,2.0,144.0
3400,170,12.0,20,-6.0,184.0
4000,200,18.0,20,4.0,226.0
5000,250,-20.0,20,6.0,284.0
6000,300,-12.0,20,6.0,340.0
8000,400,-38.0,20,-2.0,448.0
10000,500,22.0,20,8.0,548.0
12000,600,142.0,20,2.0,616.0
14000,700,132.0,20,0.0,672.0
16000,800,146.0,20,2.0,728.0
18000,900,170.0,20,0.0,790.0
20000,1000,304.0,20,6.0,844.0
24000,1200,322.0,20,-2.0,930.0
28000,1400,418.0,20,-2.0,1050.0
34000,1700,544.0,20,-6.0,1192.0
40000,2000,606.0,20,-2.0,1304.0
50000,2500,854.0,20,-2.0,1606.0
60000,3000,1012.0,20,8.0,1902.0
80000,4000,1514.0,20,-2.0,2520.0
100000,5000,2120.0,20,-4.0,2996.0
120000,6000,2770.0,20,-6.0,3448.0
140000,7000,3200.0,20,2.0,4138.0
160000,8000,3766.0,20,2.0,4742.0
180000,9000,4366.0,20,2.0,5222.0
200000,10000,4838.0,20,0.0,5734.0
