steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,33.0,34,33.0,33.0,33.0
67,2,65.0,33,32.0,65.0,33.0
96,3,93.0,29,28.0,93.0,33.0
127,4,123.0,31,30.0,123.0,33.0
158,5,153.0,31,30.0,153.0,33.0
188,6,182.0,30,29.0,182.0,33.0
216,7,209.0,28,27.0,209.0,33.0
249,8,241.0,33,32.0,241.0,33.0
280,9,271.0,31,30.0,271.0,33.0
313,10,303.0,33,32.0,303.0,33.0
378,12,366.0,33,32.0,366.0,33.0
439,14,425.0,31,30.0,425.0,33.0
537,17,520.0,33,32.0,520.0,33.0
642,20,622.0,36,35.0,622.0,37.0
924,25,899.0,95,94.0,899.0,94.0
1244,30,1214.0,31,30.0,1214.0,95.0
1958,40,1918.0,46,45.0,1918.0,147.0
3020,50,2970.0,152,151.0,2970.0,167.0
5764,60,5704.0,317,316.0,5704.0,656.0
9512,70,9443.0,1001,1001.0,9443.0,1001.0
15377,80,15300.0,1001,1001.0,15300.0,1001.0
21051,90,20965.0,532,531.0,20965.0,1001.0
30784,100,30695.0,1001,1001.0,30695.0,1001.0
43751,120,43643.0,442,441.0,43643.0,1001.0
59498,140,59378.0,941,940.0,59378.0,1001.0
85278,170,85144.0,160,159.0,85144.0,1001.0
108593,200,108448.0,1001,1001.0,108448.0,1001.0
136093,250,135916.0,271,270.0,135916.0,1001.0
166327,300,166118.0,1001,1001.0,166118.0,1001.0
234462,400,234189.0,1001,1001.0,234189.0,1001.0
295837,500,295496.0,1001,1001.0,295496.0,1001.0
370629,600,370234.0,471,470.0,370234.0,1001.0
435564,700,435102.0,32,31.0,435102.0,1001.0
485828,800,485286.0,37,36.0,485286.0,1001.0
559915,900,559329.0,383,382.0,559329.0,1001.0
627418,1000,626756.0,448,447.0,626756.0,1001.0
