steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
46,1,-0.004782608695652175,46,-0.004782608695652175,1,0
92,2,-0.009782608695652173,46,-0.005000000000000001,2,0
138,3,-1.0174486491632004,46,-1.0076660404675484,3,0
184,4,-1.022448649163198,46,-0.005000000000000001,4,0
230,5,-1.0285356056849344,46,-0.006086956521739133,5,0
276,6,-0.8289149016761389,46,0.19962070400879395,6,0
322,7,-0.834132292980487,46,-0.005217391304347827,7,0
368,8,-0.8386975103717915,46,-0.004565217391304348,8,0
414,9,-1.511913851022789,46,-0.6732163406509971,9,0
460,10,-1.5160442858053957,46,-0.004130434782608695,10,0
552,12,-1.525392111892348,46,-0.004782608695652175,12,0
644,14,-1.5336529814575615,46,-0.003913043478260869,14,0
782,17,-1.5451747205879909,46,-0.0034782608695652167,17,0
920,20,-1.557783416240159,46,-0.005000000000000001,20,0
1150,25,-1.5786529814575405,46,-0.004130434782608695,25,0
1380,30,-1.6010442858053562,46,-0.004347826086956522,30,0
1840,40,-1.6460442858053352,46,-0.004782608695652175,40,0
2300,50,-1.691261677109662,46,-0.005000000000000001,50,0
2760,60,-1.7343051553705116,46,-0.004347826086956522,60,0
3220,70,-1.7708268945009293,46,-0.0036956521739130426,70,0
3680,80,-1.8136529814574311,46,-0.004565217391304348,80,0
4140,90,-0.8549024165461279,46,-0.005217391304347827,90,0
4600,100,-0.897076329589608,46,-0.005000000000000001,100,0
5520,120,-0.9759893730678725,46,-0.0036956521739130426,119,0
6440,140,-1.05098937306785,46,-0.004782608695652175,139,0
7820,170,-1.933194835355515,46,-0.004130434782608695,169,0
9200,200,-5.190630268101596,46,-0.004565217391304348,199,0
11500,250,-5.433238963754152,46,-0.00565217391304348,249,0
13800,300,-5.693891137667607,46,-0.004565217391304348,298,0
18400,400,-6.175847659407498,46,-0.003913043478260869,397,0
23000,500,-6.977679620060711,46,-0.004565217391304348,496,0
27600,600,-7.460940489626691,46,-0.004782608695652175,594,0
32200,700,-7.890723098323021,46,-0.004130434782608695,693,0
36800,800,-7.748320737879563,46,-0.006086956521739133,793,0
41400,900,5.2580758246918915,46,-0.004565217391304348,891,0
46000,1000,1.1171720315142915,46,-1.441722622453273,990,0
55200,1200,27.599317952254363,46,0.13124595706129985,1185,0
64400,1400,36.939224769653386,46,1.1429978746284342,1381,0
78200,1700,42.97194835887558,46,-0.5106875678015897,1671,0
92000,2000,26.650659557836054,46,-0.004565217391304348,1964,0
115000,2500,21.88552568375605,46,-0.004782608695652175,2451,0
138000,3000,15.22159428045153,46,-0.005217391304347827,2944,0
184000,4000,3.596063316718255,46,-0.0028260869565217388,3928,0
230000,5000,2.600589314082937,46,1.0560985163520653,4916,0
276000,6000,14.698076371827952,46,-0.005434782608695654,5898,0
322000,7000,15.121406114588568,46,-1.4269201388294066,6887,0
368000,8000,4.46439453007926,46,-0.006304347826086959,7859,0
414000,9000,-6.269710331567898,46,0.009278837289159562,8833,0
460000,10000,-9.712620298890357,46,-0.005434782608695654,9814,0
