steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
33,1,35.011818938888496,33,35.011818938888496,32.0,32.0
66,2,124.34565295481565,33,89.33383401592717,64.0,32.0
96,3,198.8885615955631,30,74.54290864074738,93.0,32.0
138,4,270.355963870663,42,71.46740227509999,134.0,41.0
238,5,440.5938238537777,100,170.23785998311484,233.0,99.0
334,6,643.7217608583173,96,203.12793700453966,328.0,99.0
403,7,629.497357399244,69,-14.224403459073617,396.0,99.0
435,8,504.43117387806745,32,-125.0661835211766,427.0,99.0
515,9,539.7392572574777,80,35.30808337940988,506.0,99.0
575,10,490.8377706470715,60,-48.90148661040614,565.0,99.0
685,12,538.5467935600742,42,-158.36024552228093,673.0,99.0
897,14,384.58467209090395,106,-52.70725382568144,883.0,105.0
1222,17,683.6525282840956,120,141.41580676895842,1205.0,119.0
1589,20,853.9335908332522,127,126.08686267067732,1569.0,164.0
1974,25,1503.254989479154,99,136.16631173412483,1949.0,164.0
2428,30,2030.4520534284547,102,39.47873091177607,2398.0,164.0
4118,40,3654.4965314122646,212,235.33561925068392,4078.0,251.0
5879,50,5168.310357892955,178,174.7312955445129,5829.0,272.0
8548,60,7883.188230714358,546,1010.5744302585812,8488.0,545.0
11865,70,10171.89352361076,329,121.65594051739654,11795.0,617.0
14461,80,12400.603144612525,261,63.63506713719637,14381.0,617.0
17090,90,15138.422094734055,276,-68.53022755939307,17000.0,617.0
21646,100,18902.895540008383,237,285.0608680889177,21546.0,944.0
27354,120,23135.604647209915,379,54.32317638470494,27234.0,944.0
36414,140,31759.110264649673,333,366.3986968220765,36276.0,1001.0
62633,170,56316.220422520826,1001,1156.8174064376158,62486.0,1001.0
90200,200,84121.15436259065,1001,978.2689465966243,90042.0,1001.0
119069,250,112694.37941087408,37,-24.570831309854547,118871.0,1001.0
153461,300,148215.63581063473,1001,1140.6249615934714,153235.0,1001.0
218425,400,209704.09388856444,306,166.040890802743,218136.0,1001.0
275706,500,269375.70385934494,554,334.28292804232404,275343.0,1001.0
327899,600,320396.70265131386,417,546.5489904344578,327459.0,1001.0
375513,700,365232.2700284756,677,464.05545116643486,374974.0,1001.0
430162,800,419255.7565033244,352,227.28621629268477,429531.0,1001.0
478178,900,468102.0115640473,263,312.2479342488024,477449.0,1001.0
537986,1000,526192.7692650954,825,795.5384897455284,537171.0,1001.0
