steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
34,1,33.0,34,33.0,33.0,33.0
65,2,63.0,31,30.0,63.0,33.0
95,3,92.0,30,29.0,92.0,33.0
123,4,119.0,28,27.0,119.0,33.0
153,5,148.0,30,29.0,148.0,33.0
183,6,177.0,30,29.0,177.0,33.0
213,7,206.0,30,29.0,206.0,33.0
246,8,238.0,33,32.0,238.0,33.0
276,9,267.0,30,29.0,267.0,33.0
308,10,298.0,32,31.0,298.0,33.0
375,12,363.0,33,32.0,363.0,33.0
436,14,422.0,31,30.0,422.0,33.0
531,17,514.0,32,31.0,514.0,33.0
632,20,612.0,34,33.0,612.0,33.0
925,25,900.0,146,145.0,900.0,145.0
1291,30,1261.0,33,32.0,1261.0,145.0
2304,40,2264.0,88,87.0,2264.0,230.0
3516,50,3466.0,130,129.0,3466.0,230.0
5261,60,5201.0,178,177.0,5201.0,263.0
7572,70,7502.0,263,262.0,7502.0,263.0
11480,80,11400.0,522,521.0,11400.0,521.0
14659,90,14569.0,249,248.0,14569.0,531.0
17565,100,17465.0,225,224.0,17465.0,531.0
25667,120,25547.0,758,757.0,25547.0,757.0
34691,140,34551.0,406,405.0,34551.0,757.0
57353,170,57196.0,1001,1001.0,57196.0,1001.0
76514,200,76336.0,155,154.0,76336.0,1001.0
116047,250,115847.0,749,748.0,115847.0,1001.0
152462,300,152240.0,50,49.0,152240.0,1001.0
231092,400,230826.0,1001,1001.0,230826.0,1001.0
308530,500,308203.0,1001,1001.0,308203.0,1001.0
384560,600,384191.0,456,455.0,384191.0,1001.0
470282,700,469868.0,1001,1001.0,469868.0,1001.0
530004,800,529528.0,351,350.0,529528.0,1001.0
597009,900,596477.0,1001,1001.0,596477.0,1001.0
677801,1000,677231.0,1001,1001.0,677231.0,1001.0
