steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
44,1,-0.005454545454545454,44,-0.005454545454545454,1,0
88,2,-0.010227272727272722,44,-0.004772727272727273,2,0
132,3,-0.015227272727272716,44,-0.005,3,0
176,4,-0.020681818181818204,44,-0.005454545454545454,4,0
220,5,-0.02659090909090915,44,-0.005909090909090908,5,0
264,6,0.045467188558747346,44,0.07205809764965652,6,0
308,7,0.04069446128602004,44,-0.004772727272727273,7,0
352,8,-0.024236401540682538,44,-0.06493086282670255,8,0
396,9,0.7710872066639051,44,0.7953236082045877,9,0
440,10,0.7663144793911775,44,-0.004772727272727273,10,0
528,12,-0.019668156666509562,44,-0.7803008178758681,11,0
616,14,1.1871357999583814,44,-0.004545454545454546,13,0
748,17,-0.07943763341679867,44,-0.005227272727272727,16,0
880,20,-0.09443763341679877,44,-0.005227272727272727,19,0
1100,25,0.48182638117405624,44,-0.005454545454545454,24,0
1320,30,1.5486572802911032,44,1.1685220036120345,28,0
1760,40,-1.0010764994135957,44,0.4092587654379852,37,0
2200,50,-2.004035545283411,44,-0.39219236718958705,47,0
2640,60,-0.17365140022773798,44,-0.004318181818181819,57,0
3080,70,0.002473757416473058,44,-0.004318181818181819,67,0
3520,80,0.06251892771818181,44,-0.005909090909090908,77,0
3960,90,0.4730906094726802,44,0.7520755144301646,87,0
4400,100,-0.7230581913060192,44,-0.005681818181818181,97,0
5280,120,0.8777443448055452,44,-0.004772727272727273,117,0
6160,140,-3.2885106758056954,44,-1.5196200611533544,137,0
7480,170,-1.060077925787239,44,-0.04410045192916929,167,0
8800,200,3.1357252716859523,44,-0.00340909090909091,197,0
11000,250,8.394878953945497,44,0.3903439184111723,247,0
13200,300,12.764629928734482,44,1.8054227795982416,295,0
17600,400,-6.320444990307733,44,-0.4074569081660548,392,0
22000,500,2.1710198812914743,44,-0.5519855877797092,487,0
26400,600,11.954214939076099,44,-1.3973425511293274,584,0
30800,700,3.8332620226920717,44,1.7682313900793245,683,0
35200,800,6.128189454523546,44,-0.005,782,0
39600,900,-1.35354145800724,44,-0.10683839908742931,880,0
44000,1000,12.4621812103174,44,0.35472043205787235,980,0
52800,1200,34.94986508185591,44,0.037839508612976074,1176,0
61600,1400,17.204415983573515,44,0.9240694943475745,1374,0
74800,1700,10.724474876194082,44,-0.004772727272727273,1669,0
88000,2000,8.68999244781079,44,-0.004772727272727273,1961,0
110000,2500,-4.391578442496665,44,-0.002954545454545455,2455,0
132000,3000,-13.081383868976253,44,-0.005,2949,0
176000,4000,-27.701388808765316,44,-0.005,3933,0
220000,5000,-10.063419544521363,44,-0.004090909090909092,4907,0
264000,6000,-7.606375265701971,44,-1.2084665603171292,5883,0
308000,7000,-12.155855977019957,44,-0.7897366145275139,6874,0
352000,8000,-11.786375611706589,44,-0.006363636363636362,7860,0
396000,9000,-41.68739048875666,44,-0.004318181818181819,8846,0
440000,10000,-32.234556404288895,44,-1.5925834597052224,9834,0
