steps,episode,total_return,episode_len,episode_return,total_regret
1,1,-1.0,1,-1.0,2.0
2,2,0.0,1,1.0,2.0
3,3,-1.0,1,-1.0,4.0
4,4,0.0,1,1.0,4.0
5,5,-1.0,1,-1.0,6.0
6,6,-2.0,1,-1.0,8.0
7,7,-3.0,1,-1.0,10.0
8,8,-4.0,1,-1.0,12.0
9,9,-5.0,1,-1.0,14.0
10,10,-6.0,1,-1.0,16.0
12,12,-6.0,1,1.0,18.0
14,14,-8.0,1,-1.0,22.0
17,17,-9.0,1,-1.0,26.0
20,20,-12.0,1,-1.0,32.0
25,25,-17.0,1,-1.0,42.0
30,30,-22.0,1,-1.0,52.0
40,40,-32.0,1,-1.0,72.0
50,50,-40.0,1,-1.0,90.0
60,60,-48.0,1,-1.0,108.0
70,70,-54.0,1,-1.0,124.0
80,80,-62.0,1,-1.0,142.0
90,90,-70.0,1,-1.0,160.0
100,100,-78.0,1,-1.0,178.0
120,120,-96.0,1,1.0,216.0
140,140,-112.0,1,-1.0,252.0
170,170,-140.0,1,-1.0,310.0
200,200,-166.0,1,-1.0,366.0
250,250,-196.0,1,1.0,446.0
300,300,-228.0,1,1.0,528.0
400,400,-304.0,1,-1.0,704.0
500,500,-380.0,1,-1.0,880.0
600,600,-458.0,1,1.0,1058.0
700,700,-532.0,1,-1.0,1232.0
800,800,-614.0,1,1.0,1414.0
900,900,-680.0,1,-1.0,1580.0
1000,1000,-752.0,1,-1.0,1752.0
1200,1200,-886.0,1,-1.0,2086.0
1400,1400,-1014.0,1,-1.0,2414.0
1700,1700,-1242.0,1,-1.0,2942.0
2000,2000,-1444.0,1,-1.0,3444.0
2500,2500,-1788.0,1,1.0,4288.0
3000,3000,-2094.0,1,-1.0,5094.0
4000,4000,-2696.0,1,-1.0,6696.0
5000,5000,-3242.0,1,1.0,8242.0
6000,6000,-3756.0,1,-1.0,9756.0
7000,7000,-4294.0,1,-1.0,11294.0
8000,8000,-4822.0,1,-1.0,12822.0
9000,9000,-5316.0,1,1.0,14316.0
10000,10000,-5802.0,1,-1.0,15802.0
