steps,episode,total_return,episode_len,episode_return,total_regret
20,1,-6.0,20,-6.0,2.0
40,2,-6.0,20,0.0,4.0
60,3,-4.0,20,2.0,4.0
80,4,-6.0,20,-2.0,6.0
100,5,-4.0,20,2.0,8.0
120,6,-6.0,20,-2.0,8.0
140,7,-6.0,20,0.0,10.0
160,8,-12.0,20,-6.0,10.0
180,9,-12.0,20,0.0,10.0
200,10,-10.0,20,2.0,10.0
240,12,0.0,20,4.0,10.0
280,14,6.0,20,4.0,14.0
340,17,2.0,20,-2.0,16.0
400,20,4.0,20,2.0,22.0
500,25,18.0,20,2.0,24.0
600,30,8.0,20,-2.0,30.0
800,40,-2.0,20,4.0,40.0
1000,50,8.0,20,4.0,44.0
1200,60,16.0,20,-4.0,56.0
1400,70,8.0,20,-2.0,68.0
1600,80,0.0,20,-2.0,80.0
1800,90,0.0,20,6.0,94.0
2000,100,10.0,20,4.0,104.0
2400,120,32.0,20,8.0,130.0
2800,140,48.0,20,2.0,156.0
3400,170,92.0,20,-6.0,182.0
4000,200,86.0,20,-4.0,214.0
5000,250,76.0,20,-6.0,284.0
6000,300,72.0,20,-2.0,340.0
8000,400,116.0,20,0.0,458.0
10000,500,114.0,20,-4.0,564.0
12000,600,132.0,20,-2.0,678.0
14000,700,250.0,20,-4.0,766.0
16000,800,280.0,20,0.0,846.0
18000,900,350.0,20,6.0,926.0
20000,1000,354.0,20,0.0,992.0
24000,1200,462.0,20,-4.0,1170.0
28000,1400,580.0,20,-4.0,1358.0
34000,1700,466.0,20,2.0,1624.0
40000,2000,528.0,20,4.0,1850.0
50000,2500,762.0,20,8.0,2210.0
60000,3000,884.0,20,2.0,2584.0
80000,4000,956.0,20,0.0,3308.0
100000,5000,1270.0,20,-2.0,4044.0
120000,6000,1638.0,20,6.0,4738.0
140000,7000,1852.0,20,-6.0,5528.0
160000,8000,1948.0,20,8.0,6370.0
180000,9000,2046.0,20,-2.0,7190.0
200000,10000,2182.0,20,4.0,8032.0
