steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
32,1,31.0,32,31.0,31.0,31.0
63,2,61.0,31,30.0,61.0,31.0
93,3,90.0,30,29.0,90.0,31.0
124,4,120.0,31,30.0,120.0,31.0
154,5,149.0,30,29.0,149.0,31.0
184,6,178.0,30,29.0,178.0,31.0
215,7,208.0,31,30.0,208.0,31.0
247,8,239.0,32,31.0,239.0,31.0
276,9,267.0,29,28.0,267.0,31.0
305,10,295.0,29,28.0,295.0,31.0
366,12,354.0,31,30.0,354.0,31.0
426,14,412.0,28,27.0,412.0,31.0
526,17,509.0,33,32.0,509.0,33.0
636,20,616.0,39,38.0,616.0,38.0
856,25,831.0,72,71.0,831.0,71.0
1278,30,1248.0,72,71.0,1248.0,147.0
2123,40,2083.0,86,85.0,2083.0,157.0
3745,50,3695.0,178,177.0,3695.0,232.0
5740,60,5680.0,211,210.0,5680.0,248.0
8242,70,8172.0,357,356.0,8172.0,356.0
12617,80,12537.0,368,367.0,12537.0,990.0
15892,90,15802.0,371,370.0,15802.0,990.0
19919,100,19820.0,181,180.0,19820.0,1001.0
34406,120,34294.0,772,771.0,34294.0,1001.0
46632,140,46505.0,290,289.0,46505.0,1001.0
62670,170,62517.0,1001,1001.0,62517.0,1001.0
86064,200,85900.0,405,404.0,85900.0,1001.0
122255,250,122071.0,412,411.0,122071.0,1001.0
145527,300,145297.0,1001,1001.0,145297.0,1001.0
210328,400,210021.0,902,901.0,210021.0,1001.0
277021,500,276646.0,312,311.0,276646.0,1001.0
353008,600,352584.0,1001,1001.0,352584.0,1001.0
425514,700,425046.0,265,264.0,425046.0,1001.0
503589,800,503061.0,1001,1001.0,503061.0,1001.0
583006,900,582431.0,921,920.0,582431.0,1001.0
663199,1000,662580.0,1001,1001.0,662580.0,1001.0
