steps,episode,total_return,episode_len,episode_return,total_regret
20,1,4.0,20,4.0,2.0
40,2,8.0,20,4.0,2.0
60,3,8.0,20,0.0,2.0
80,4,8.0,20,0.0,4.0
100,5,12.0,20,4.0,6.0
120,6,10.0,20,-2.0,6.0
140,7,14.0,20,4.0,6.0
160,8,8.0,20,-6.0,8.0
180,9,8.0,20,0.0,10.0
200,10,12.0,20,4.0,10.0
240,12,6.0,20,-8.0,14.0
280,14,8.0,20,-2.0,18.0
340,17,18.0,20,8.0,22.0
400,20,30.0,20,-2.0,22.0
500,25,30.0,20,-6.0,24.0
600,30,24.0,20,-4.0,30.0
800,40,20.0,20,0.0,34.0
1000,50,32.0,20,2.0,40.0
1200,60,50.0,20,6.0,50.0
1400,70,28.0,20,0.0,62.0
1600,80,16.0,20,-4.0,66.0
1800,90,22.0,20,6.0,76.0
2000,100,26.0,20,0.0,82.0
2400,120,32.0,20,-2.0,92.0
2800,140,32.0,20,4.0,110.0
3400,170,78.0,20,10.0,132.0
4000,200,102.0,20,4.0,154.0
5000,250,140.0,20,-4.0,194.0
6000,300,46.0,20,-4.0,264.0
8000,400,146.0,20,2.0,362.0
10000,500,184.0,20,-4.0,462.0
12000,600,184.0,20,0.0,568.0
14000,700,200.0,20,2.0,648.0
16000,800,270.0,20,-4.0,722.0
18000,900,454.0,20,0.0,782.0
20000,1000,604.0,20,-6.0,804.0
24000,1200,720.0,20,2.0,856.0
28000,1400,818.0,20,-6.0,932.0
34000,1700,1096.0,20,2.0,1034.0
40000,2000,1308.0,20,-6.0,1118.0
50000,2500,1780.0,20,8.0,1206.0
60000,3000,1998.0,20,-4.0,1292.0
80000,4000,2936.0,20,-2.0,1534.0
100000,5000,3632.0,20,-2.0,1862.0
120000,6000,4120.0,20,-2.0,2288.0
140000,7000,4898.0,20,-2.0,2504.0
160000,8000,5672.0,20,4.0,2766.0
180000,9000,6494.0,20,0.0,2938.0
200000,10000,7346.0,20,2.0,3194.0
