steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
24,1,-0.005833333333333334,24,-0.005833333333333334,1,0
48,2,-0.011249999999999994,24,-0.005416666666666667,2,0
72,3,-0.016666666666666653,24,-0.005416666666666667,3,0
96,4,-0.02208333333333331,24,-0.005416666666666667,4,0
120,5,-0.028333333333333297,24,-0.00625,5,0
144,6,0.924747936096292,24,0.9530812694296253,6,0
168,7,0.9205812694296258,24,-0.004166666666666667,7,0
192,8,0.9667690289210169,24,0.04618775949139076,8,0
216,9,0.9626023622543507,24,-0.004166666666666667,9,0
240,10,0.6072720370335782,24,-0.3553303252207729,10,0
288,12,0.5968553703669127,24,-0.005416666666666667,12,0
336,14,-0.4058961524656629,24,-0.9977515228325767,14,0
408,17,-1.777263993316347,24,0.41750277349127146,17,0
480,20,-1.2977655370227343,24,-0.005,20,0
600,25,-1.603698964921305,24,-0.00625,25,0
720,30,-3.1295138824447726,24,1.0565861407456045,30,0
960,40,-1.3647656983077285,24,0.6745335924812244,40,0
1200,50,0.5898214432785819,24,-0.006666666666666667,50,0
1440,60,0.2944900077679317,24,-0.007083333333333334,60,0
1680,70,1.2776457701364832,24,-0.4694411766682588,70,0
1920,80,-1.19887020548434,24,-1.3060549741140477,79,0
2160,90,-1.7229361748104062,24,1.0229602317998523,88,0
2400,100,-4.211458748313066,24,-0.005,98,0
2880,120,-8.03723069680551,24,-0.006666666666666667,118,0
3360,140,-8.212024299919502,24,-0.004583333333333333,137,0
4080,170,-7.598589046115912,24,-0.0037500000000000003,165,0
4800,200,-10.477476419885253,24,-0.00625,194,0
6000,250,-10.638029712157678,24,-0.20026456261783795,241,0
7200,300,-10.889817277242397,24,-0.00625,290,0
9600,400,-9.955202513327198,24,-0.017806329067299023,389,0
12000,500,-9.313435468025489,24,-0.004583333333333333,487,0
14400,600,-13.710077312544716,24,-0.0033333333333333335,581,0
16800,700,-15.871690540289489,24,-0.005,678,0
19200,800,-4.754587211896232,24,-1.3521570600968562,774,0
21600,900,-3.825471646984682,24,0.10794002319123477,869,0
24000,1000,15.908467273881534,24,0.6687270643144835,969,0
28800,1200,9.152223810174734,24,-0.005,1163,0
33600,1400,7.679143915153277,24,0.16565534846565114,1361,0
40800,1700,17.531771326664717,24,0.12453207708683252,1652,0
48000,2000,38.83067996467522,24,-0.33765304198483614,1945,0
60000,2500,32.31988165343747,24,-0.005833333333333334,2429,0
72000,3000,15.079051748587846,24,-0.005,2915,0
96000,4000,16.5118009524471,24,-1.4040326485820074,3846,0
120000,5000,13.11827310929234,24,-0.004583333333333333,4819,0
144000,6000,-8.348938428937489,24,-0.005833333333333334,5788,0
168000,7000,-21.970341109004227,24,-0.002916666666666667,6768,0
192000,8000,-35.27870734546435,24,-0.005,7739,0
216000,9000,-52.08883287239017,24,-0.0037500000000000003,8708,0
240000,10000,-61.522248191654505,24,-0.005416666666666667,9681,0
