steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
32,1,31.0,32,31.0,31.0,31.0
65,2,63.0,33,32.0,63.0,32.0
101,3,98.0,36,35.0,98.0,35.0
131,4,127.0,30,29.0,127.0,35.0
163,5,158.0,32,31.0,158.0,35.0
198,6,192.0,35,34.0,192.0,35.0
232,7,225.0,34,33.0,225.0,35.0
265,8,257.0,33,32.0,257.0,35.0
295,9,286.0,30,29.0,286.0,35.0
328,10,318.0,33,32.0,318.0,35.0
406,12,394.0,41,40.0,394.0,40.0
493,14,479.0,47,46.0,479.0,46.0
696,17,679.0,95,94.0,679.0,94.0
897,20,877.0,113,112.0,877.0,112.0
1139,25,1114.0,92,91.0,1114.0,112.0
1465,30,1435.0,72,71.0,1435.0,112.0
3171,40,3131.0,281,280.0,3131.0,280.0
5553,50,5503.0,213,212.0,5503.0,375.0
8195,60,8135.0,262,261.0,8135.0,375.0
12158,70,12088.0,367,366.0,12088.0,956.0
15366,80,15286.0,323,322.0,15286.0,956.0
20034,90,19945.0,1001,1001.0,19945.0,1001.0
24540,100,24443.0,1001,1001.0,24443.0,1001.0
41213,120,41106.0,868,867.0,41106.0,1001.0
54519,140,54403.0,1001,1001.0,54403.0,1001.0
77162,170,77036.0,1001,1001.0,77036.0,1001.0
98275,200,98132.0,1001,1001.0,98132.0,1001.0
132852,250,132682.0,1001,1001.0,132682.0,1001.0
151124,300,150912.0,217,216.0,150912.0,1001.0
225861,400,225598.0,1001,1001.0,225598.0,1001.0
295188,500,294865.0,152,151.0,294865.0,1001.0
371015,600,370618.0,222,221.0,370618.0,1001.0
440038,700,439581.0,194,193.0,439581.0,1001.0
503957,800,503433.0,259,258.0,503433.0,1001.0
579666,900,579093.0,133,132.0,579093.0,1001.0
657230,1000,656620.0,1001,1001.0,656620.0,1001.0
