steps,episode,total_return,episode_len,episode_return,total_regret
1,1,1.0944986616690844,1,1.0944986616690844,0.0
2,2,2.3646897259790998,1,1.2701910643100154,0.0
3,3,3.129004786558728,1,0.7643150605796283,0.0
4,4,3.836810243749131,1,0.7078054571904031,0.0
5,5,3.856823513996572,1,0.02001327024744104,0.29999999999999993
6,6,4.933079800412129,1,1.076256286415557,0.5999999999999999
7,7,5.69163243526723,1,0.7585526348551008,0.6999999999999998
8,8,6.632449014427496,1,0.9408165791602662,0.6999999999999998
9,9,7.927158021748089,1,1.2947090073205934,0.6999999999999998
10,10,8.863591546603356,1,0.9364335248552678,0.6999999999999998
12,12,9.801524702767903,1,0.775442618110514,1.5999999999999999
14,14,11.021435518848264,1,0.03179008407038619,2.3
17,17,12.6272513914726,1,0.9575597828002423,3.7
20,20,15.050775202706193,1,0.4615157646891922,3.7
25,25,18.20973927450418,1,0.7683632940661673,4.7
30,30,21.912441970588237,1,1.213019054805789,5.5
40,40,30.46864491191786,1,1.2606996597307176,6.8999999999999995
50,50,37.834708732112055,1,0.09204045235033126,9.399999999999999
60,60,44.85679605132662,1,1.0137228296117997,10.699999999999998
70,70,52.3676864158007,1,1.3400368690307758,12.399999999999997
80,80,60.73197385923847,1,0.34441866465148563,14.299999999999995
90,90,68.73656010878814,1,0.8781850751725638,14.399999999999995
100,100,76.62602613318136,1,0.8159042700391497,16.299999999999997
120,120,94.23086382608265,1,0.8827652058735235,18.099999999999994
140,140,114.50544775410597,1,1.2559054484245473,19.299999999999997
170,170,140.65006248846123,1,1.1453164393348025,22.2
200,200,166.1261740535001,1,0.5623216664664141,25.6
250,250,211.54452305869972,1,1.465784605747609,32.60000000000001
300,300,258.1818776351808,1,0.26591768136356936,38.300000000000004
400,400,351.4972523311869,1,1.2457343713477766,50.700000000000024
500,500,437.55766399595257,1,0.7495611046978762,63.30000000000004
600,600,523.3833771201136,1,0.8589146895262223,74.10000000000004
700,700,610.294359839731,1,1.6239812361588002,88.50000000000006
800,800,694.344199412873,1,0.7433951129857101,99.00000000000003
900,900,777.1892246364196,1,0.10900644237340945,113.00000000000003
1000,1000,866.9609894813582,1,1.021043444964351,122.7
1200,1200,1045.1726052535225,1,1.3027452984439714,141.79999999999995
1400,1400,1228.4606770278629,1,1.0410685039269119,164.79999999999987
1700,1700,1497.2370693393095,1,1.1195805414786757,197.09999999999977
2000,2000,1772.2552028540679,1,1.100050201263107,231.19999999999965
2500,2500,2231.092236283081,1,1.1263368465036872,280.49999999999983
3000,3000,2679.1791407142764,1,1.0051383958433397,327.00000000000057
4000,4000,3585.4184436466803,1,0.30334264531144345,437.9000000000015
5000,5000,4472.783877499536,1,1.104770052855977,540.3000000000026
6000,6000,5366.958049298623,1,0.8461985987066734,646.0000000000042
7000,7000,6276.222227074953,1,0.6328254112890324,747.3000000000061
8000,8000,7170.983419448356,1,0.8245078001316957,854.4000000000069
9000,9000,8041.400724679432,1,1.1512256277590016,965.0000000000081
10000,10000,8943.33835789048,1,1.0314219153343782,1070.4000000000078
