steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
22,1,-0.03401625574409968,22,-0.03401625574409968,1,0
44,2,-0.03901625574409971,22,-0.005,2,0
66,3,-0.042198073925917914,22,-0.0031818181818181815,3,0
88,4,-0.036534382403841825,22,0.005663691522076114,4,0
110,5,-0.03926165513111457,22,-0.002727272727272727,5,0
132,6,-0.0442616551311146,22,-0.005,6,0
154,7,-0.04880710967656918,22,-0.004545454545454545,7,0
176,8,-0.05426165513111467,22,-0.005454545454545455,8,0
198,9,-0.7018302667446694,22,-0.6475686116135547,9,0
220,10,-0.7059211758355788,22,-0.00409090909090909,10,0
264,12,-0.713648448562852,22,-0.0031818181818181815,12,0
308,14,-0.7250120849264892,22,-0.005454545454545455,14,0
374,17,-0.7377393576537628,22,-0.003636363636363636,17,0
440,20,-0.18287426585663547,22,0.5662287281607646,20,0
550,25,-1.6797157762189416,22,-0.00590909090909091,25,0
660,30,-2.8666416234144787,22,-0.004545454545454545,30,0
880,40,-3.1473594853809996,22,-0.7353105975317373,39,0
1100,50,-3.193723121744639,22,-0.005454545454545455,49,0
1320,60,-3.246904939926461,22,-0.005454545454545455,59,0
1540,70,-3.300541303562828,22,-0.005454545454545455,67,0
1760,80,-4.331976970501774,22,-0.005454545454545455,76,0
1980,90,-4.377431515956278,22,-0.00590909090909091,86,0
2200,100,-5.1178639738029945,22,-0.00590909090909091,96,0
2640,120,-5.220591246530174,22,-0.005454545454545455,116,0
3080,140,-6.834699452850457,22,-0.00681818181818182,135,0
3740,170,-6.432067901020202,22,-0.002727272727272727,164,0
4400,200,-6.564340628292809,22,-0.004545454545454545,193,0
5500,250,-6.817976991928942,22,-0.005,241,0
6600,300,-7.07024971920144,22,-0.0031818181818181815,291,0
8800,400,-7.594795173746418,22,-0.004545454545454545,385,0
11000,500,-7.835010467213206,22,-0.00409090909090909,484,0
13200,600,-6.16290729040466,22,0.6940298212991577,579,0
15400,700,-2.7595441966896725,22,-0.6389954159772026,671,0
17600,800,-5.1749697033558375,22,-1.3530580238002043,765,0
19800,900,-19.311961291136825,22,0.022161993435527834,859,0
22000,1000,-22.47722365824771,22,-0.005,956,0
26400,1200,-7.819014496652773,22,-0.005,1147,0
30800,1400,-11.915432959732067,22,-0.08263252665285781,1335,0
37400,1700,-9.885620943920946,22,-0.005454545454545455,1619,0
44000,2000,-13.484028138119434,22,0.9386933076988943,1901,0
55000,2500,9.253699142888305,22,1.5132910874553345,2376,0
66000,3000,44.327287856875685,22,-0.31694652479699675,2858,0
88000,4000,104.20913518553756,22,0.7781822774270089,3814,0
110000,5000,113.91662193777405,22,-0.0031818181818181815,4755,0
132000,6000,105.73510130604487,22,-0.005,5697,0
154000,7000,124.36075053698167,22,1.791940152927872,6653,0
176000,8000,107.59896367723832,22,-0.005454545454545455,7635,0
198000,9000,149.2953496166422,22,1.5965412262361878,8588,0
220000,10000,182.83504631823328,22,-0.005,9543,0
