steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
33,1,32.0,33,32.0,32.0,32.0
68,2,66.0,35,34.0,66.0,34.0
103,3,100.0,35,34.0,100.0,34.0
136,4,132.0,33,32.0,132.0,34.0
168,5,163.0,32,31.0,163.0,34.0
204,6,198.0,36,35.0,198.0,35.0
239,7,232.0,35,34.0,232.0,35.0
269,8,261.0,30,29.0,261.0,35.0
300,9,291.0,31,30.0,291.0,35.0
333,10,323.0,33,32.0,323.0,35.0
404,12,392.0,36,35.0,392.0,35.0
472,14,458.0,32,31.0,458.0,35.0
679,17,662.0,123,122.0,662.0,122.0
789,20,769.0,44,43.0,769.0,122.0
959,25,934.0,46,45.0,934.0,122.0
1335,30,1305.0,132,131.0,1305.0,131.0
3387,40,3347.0,237,236.0,3347.0,388.0
7405,50,7355.0,711,710.0,7355.0,716.0
12406,60,12346.0,489,488.0,12346.0,716.0
18153,70,18083.0,630,629.0,18083.0,716.0
21380,80,21300.0,678,677.0,21300.0,994.0
28486,90,28397.0,730,729.0,28397.0,1001.0
37056,100,36964.0,1001,1001.0,36964.0,1001.0
53550,120,53448.0,421,420.0,53448.0,1001.0
71414,140,71307.0,1001,1001.0,71307.0,1001.0
92780,170,92659.0,450,449.0,92659.0,1001.0
112237,200,112097.0,941,940.0,112097.0,1001.0
142952,250,142785.0,314,313.0,142785.0,1001.0
171486,300,171284.0,431,430.0,171284.0,1001.0
246814,400,246570.0,593,592.0,246570.0,1001.0
328808,500,328517.0,183,182.0,328517.0,1001.0
389571,600,389207.0,622,621.0,389207.0,1001.0
465335,700,464916.0,961,960.0,464916.0,1001.0
527622,800,527148.0,1001,1001.0,527148.0,1001.0
591374,900,590825.0,720,719.0,590825.0,1001.0
654764,1000,654138.0,482,481.0,654138.0,1001.0
