steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.0,1,0.0,1.0
2,2,0.0,1,0.0,2.0
3,3,0.0,1,0.0,3.0
4,4,0.0,1,0.0,4.0
5,5,100.0,1,100.0,4.9
6,6,200.0,1,100.0,5.800000000000001
7,7,400.0,1,200.0,6.6000000000000005
8,8,400.0,1,0.0,7.6000000000000005
9,9,400.0,1,0.0,8.600000000000001
10,10,400.0,1,0.0,9.600000000000001
12,12,1300.0,1,0.0,10.700000000000001
14,14,2100.0,1,800.0,11.9
17,17,3700.0,1,0.0,13.299999999999999
20,20,3700.0,1,0.0,16.299999999999997
25,25,4300.0,1,0.0,20.699999999999996
30,30,5300.0,1,200.0,24.699999999999996
40,40,7200.0,1,0.0,32.8
50,50,10200.0,1,800.0,39.800000000000004
60,60,12200.0,1,0.0,47.800000000000004
70,70,13800.0,1,500.0,56.2
80,80,16200.0,1,1000.0,63.800000000000004
90,90,16400.0,1,0.0,73.60000000000001
100,100,19300.0,1,1000.0,80.7
120,120,34500.0,1,800.0,85.50000000000004
140,140,47900.0,1,0.0,92.1000000000001
170,170,70200.0,1,800.0,99.80000000000015
200,200,92700.0,1,800.0,107.30000000000022
250,250,129500.0,1,800.0,120.50000000000033
300,300,169200.0,1,1000.0,130.8000000000003
400,400,244200.0,1,800.0,155.79999999999944
500,500,316900.0,1,500.0,183.09999999999866
600,600,390800.0,1,900.0,209.19999999999789
700,700,467900.0,1,800.0,232.09999999999712
800,800,556900.0,1,800.0,243.099999999997
900,900,646600.0,1,1000.0,253.39999999999694
1000,1000,738300.0,1,1000.0,261.699999999997
1200,1200,908200.0,1,1000.0,291.7999999999969
1400,1400,1080800.0,1,1000.0,319.19999999999703
1700,1700,1346300.0,1,1000.0,353.69999999999715
2000,2000,1616500.0,1,1000.0,383.49999999999756
2500,2500,2064200.0,1,1000.0,435.79999999999797
3000,3000,2503000.0,1,100.0,496.9999999999984
4000,4000,3399600.0,1,1000.0,600.3999999999994
5000,5000,4298300.0,1,1000.0,701.7000000000006
6000,6000,5185000.0,1,1000.0,815.0000000000025
7000,7000,6070400.0,1,1000.0,929.600000000004
8000,8000,6976300.0,1,1000.0,1023.7000000000055
9000,9000,7872200.0,1,800.0,1127.8000000000027
10000,10000,8776100.0,1,1000.0,1223.9000000000008
