steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
33,1,32.0,33,32.0,32.0,32.0
66,2,64.0,33,32.0,64.0,32.0
103,3,100.0,37,36.0,100.0,36.0
133,4,129.0,30,29.0,129.0,36.0
165,5,160.0,32,31.0,160.0,36.0
199,6,193.0,34,33.0,193.0,36.0
234,7,227.0,35,34.0,227.0,36.0
268,8,260.0,34,33.0,260.0,36.0
302,9,293.0,34,33.0,293.0,36.0
335,10,325.0,33,32.0,325.0,36.0
406,12,394.0,34,33.0,394.0,36.0
471,14,457.0,33,32.0,457.0,36.0
628,17,611.0,77,76.0,611.0,76.0
788,20,768.0,80,79.0,768.0,79.0
1090,25,1065.0,84,83.0,1065.0,83.0
1352,30,1322.0,47,46.0,1322.0,87.0
4342,40,4302.0,974,973.0,4302.0,973.0
11431,50,11381.0,526,525.0,11381.0,973.0
15036,60,14976.0,360,359.0,14976.0,973.0
18816,70,18746.0,359,358.0,18746.0,973.0
22741,80,22661.0,644,643.0,22661.0,973.0
26268,90,26178.0,316,315.0,26178.0,973.0
29761,100,29661.0,348,347.0,29661.0,973.0
43159,120,43041.0,584,583.0,43041.0,1001.0
57494,140,57363.0,901,900.0,57363.0,1001.0
82520,170,82369.0,1001,1001.0,82369.0,1001.0
110275,200,110118.0,1001,1001.0,110118.0,1001.0
152354,250,152182.0,1001,1001.0,152182.0,1001.0
193397,300,193208.0,755,754.0,193208.0,1001.0
272404,400,272166.0,444,443.0,272166.0,1001.0
354021,500,353753.0,32,31.0,353753.0,1001.0
429265,600,428958.0,1001,1001.0,428958.0,1001.0
506758,700,506416.0,1001,1001.0,506416.0,1001.0
587394,800,587007.0,1001,1001.0,587007.0,1001.0
662835,900,662392.0,142,141.0,662392.0,1001.0
747342,1000,746868.0,1001,1001.0,746868.0,1001.0
