steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
30,1,-0.005666666666666666,30,-0.005666666666666666,1,0
60,2,-0.00933333333333333,30,-0.0036666666666666675,2,0
90,3,-0.013999999999999993,30,-0.004666666666666667,3,0
120,4,-0.017333333333333333,30,-0.003333333333333334,4,0
150,5,-0.02266666666666669,30,-0.005333333333333333,5,0
180,6,-0.02833333333333338,30,-0.005666666666666666,6,0
210,7,-1.0606194827701678,30,-1.0322861494368345,7,0
240,8,-1.0646194827701674,30,-0.004000000000000001,8,0
270,9,-1.0699528161035001,30,-0.005333333333333333,9,0
300,10,-1.0752861494368329,30,-0.005333333333333333,10,0
360,12,-1.0859528161034984,30,-0.006333333333333332,12,0
420,14,-1.6286280489681833,30,-0.5370085661980194,14,0
510,17,-1.6446280489681815,30,-0.004666666666666667,17,0
600,20,-2.3860546638190265,30,-0.004000000000000001,20,0
750,25,-2.4083879971523574,30,-0.005666666666666666,25,0
900,30,-2.4363879971523543,30,-0.006666666666666665,29,0
1200,40,-2.4823879971523493,30,-0.004000000000000001,39,0
1500,50,-2.5310546638190106,30,-0.005999999999999999,49,0
1800,60,-2.581054663819005,30,-0.004666666666666667,59,0
2100,70,-2.633721330485666,30,-0.004333333333333334,69,0
2400,80,-2.6817213304856606,30,-0.004000000000000001,79,0
2700,90,-3.5865845801585197,30,-0.005333333333333333,89,0
3000,100,-3.891245261352499,30,-0.0030000000000000005,99,0
3600,120,-3.989245261352488,30,-0.004333333333333334,117,0
4200,140,-4.683330885332779,30,-0.005333333333333333,134,0
5100,170,-4.822997551999617,30,-0.006333333333333332,164,0
6000,200,-4.964330885333123,30,-0.004666666666666667,194,0
7500,250,-5.204330885333416,30,-0.005333333333333333,242,0
9000,300,-5.442664218667041,30,-0.005333333333333333,291,0
12000,400,-4.284463971619984,30,-0.005666666666666666,388,0
15000,500,-11.5718920774569,30,-0.004666666666666667,484,0
18000,600,-11.630230188718297,30,-0.004333333333333334,576,0
21000,700,-10.827120676246654,30,-0.005666666666666666,672,0
24000,800,-4.557084039779077,30,1.164720722821022,769,0
27000,900,-15.92075498321953,30,-1.2569053274560629,867,0
30000,1000,-16.592951186757723,30,0.6003913792878932,964,0
36000,1200,2.5166988281951808,30,-2.0598638064726424,1156,0
42000,1400,-3.073624963836659,30,0.967267544029738,1351,0
51000,1700,8.339915952278288,30,0.7204811961059665,1648,0
60000,2000,20.924658024200692,30,-0.24912264995802622,1931,0
75000,2500,42.89912788938159,30,-0.005,2420,0
90000,3000,30.356669660888283,30,-0.004000000000000001,2900,0
120000,4000,-5.977924948213937,30,-0.005999999999999999,3857,0
150000,5000,10.712303557193717,30,-1.0430640867224368,4823,0
180000,6000,26.937293981773404,30,-0.13982678442087693,5790,0
210000,7000,15.907542693315484,30,-0.005333333333333333,6754,0
240000,8000,5.279733282302464,30,-0.004333333333333334,7726,0
270000,9000,-8.478397051636811,30,-0.004333333333333334,8694,0
300000,10000,-22.997198964080443,30,-1.98987646864168,9629,0
