steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.4,1,0.4,0.6
2,2,0.8,1,0.4,1.2
3,3,1.2000000000000002,1,0.4,1.7999999999999998
4,4,1.6,1,0.4,2.4
5,5,1.8,1,0.2,3.2
6,6,2.0,1,0.2,4.0
7,7,2.9,1,0.9,4.1
8,8,3.3,1,0.4,4.699999999999999
9,9,3.6999999999999997,1,0.4,5.299999999999999
10,10,4.1,1,0.4,5.899999999999999
12,12,5.2,1,0.4,6.799999999999998
14,14,6.4,1,0.8,7.599999999999998
17,17,8.4,1,0.4,8.599999999999998
20,20,9.600000000000001,1,0.4,10.399999999999997
25,25,11.200000000000003,1,0.4,13.799999999999995
30,30,14.100000000000005,1,0.9,15.899999999999993
40,40,19.299999999999997,1,0.4,20.700000000000003
50,50,24.29999999999999,1,0.8,25.70000000000001
60,60,29.79999999999998,1,0.4,30.20000000000002
70,70,33.49999999999997,1,0.30000000000000004,36.50000000000003
80,80,39.19999999999996,1,1.0,40.80000000000004
90,90,43.699999999999946,1,0.4,46.300000000000054
100,100,49.19999999999994,1,1.0,50.80000000000006
120,120,64.99999999999993,1,0.9,55.00000000000008
140,140,81.29999999999998,1,0.4,58.700000000000095
170,170,108.69999999999999,1,1.0,61.3000000000001
200,200,135.0,1,1.0,65.0000000000001
250,250,178.80000000000004,1,1.0,71.2000000000001
300,300,224.20000000000005,1,0.9,75.80000000000008
400,400,312.4,1,1.0,87.60000000000008
500,500,394.7999999999998,1,0.30000000000000004,105.20000000000003
600,600,480.99999999999983,1,0.7000000000000001,119.00000000000004
700,700,573.4999999999994,1,1.0,126.49999999999999
800,800,665.5999999999992,1,0.8,134.39999999999995
900,900,755.699999999999,1,0.9,144.2999999999999
1000,1000,846.899999999999,1,1.0,153.09999999999988
1200,1200,1017.3999999999987,1,1.0,182.59999999999982
1400,1400,1193.5000000000002,1,1.0,206.49999999999977
1700,1700,1458.2000000000014,1,1.0,241.79999999999964
2000,2000,1729.6000000000022,1,1.0,270.3999999999996
2500,2500,2170.9000000000046,1,1.0,329.10000000000036
3000,3000,2613.8000000000056,1,0.2,386.20000000000056
4000,4000,3517.7000000000107,1,1.0,482.30000000000155
5000,5000,4411.100000000011,1,1.0,588.9000000000025
6000,6000,5303.499999999996,1,1.0,696.5000000000043
7000,7000,6197.999999999982,1,1.0,802.0000000000061
8000,8000,7098.699999999972,1,0.9,901.3000000000071
9000,9000,7997.099999999961,1,0.8,1002.9000000000082
10000,10000,8900.199999999948,1,1.0,1099.8000000000072
