steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.024,1,0.024,0.19999999999999996
2,2,0.048,1,0.024,0.3999999999999999
3,3,0.07200000000000001,1,0.024,0.5999999999999999
4,4,0.096,1,0.024,0.7999999999999998
5,5,0.114,1,0.018000000000000002,1.1999999999999997
6,6,0.132,1,0.018000000000000002,1.5999999999999996
7,7,0.14400000000000002,1,0.012,2.1999999999999997
8,8,0.168,1,0.024,2.3999999999999995
9,9,0.192,1,0.024,2.5999999999999996
10,10,0.216,1,0.024,2.8
12,12,0.249,1,0.024,3.7
14,14,0.29400000000000004,1,0.021,4.2
17,17,0.3600000000000001,1,0.024,5.0
20,20,0.43200000000000016,1,0.024,5.6000000000000005
25,25,0.5310000000000002,1,0.024,7.300000000000002
30,30,0.6360000000000003,1,0.012,8.8
40,40,0.8430000000000005,1,0.024,11.899999999999995
50,50,1.0740000000000005,1,0.021,14.19999999999999
60,60,1.3020000000000005,1,0.024,16.599999999999987
70,70,1.5060000000000004,1,0.015,19.799999999999983
80,80,1.7160000000000004,1,0.027,22.799999999999983
90,90,1.9440000000000006,1,0.024,25.199999999999978
100,100,2.1750000000000007,1,0.027,27.499999999999975
120,120,2.5229999999999997,1,0.03,35.89999999999998
140,140,3.009,1,0.015,39.699999999999996
170,170,3.6929999999999974,1,0.027,46.90000000000003
200,200,4.515000000000002,1,0.03,49.50000000000004
250,250,5.8140000000000125,1,0.03,56.20000000000005
300,300,7.194000000000021,1,0.027,60.20000000000006
400,400,9.791999999999996,1,0.03,73.60000000000004
500,500,12.401999999999944,1,0.015,86.6
600,600,14.993999999999906,1,0.012,100.20000000000003
700,700,17.60699999999995,1,0.03,113.1
800,800,20.26200000000005,1,0.03,124.60000000000002
900,900,22.848000000000148,1,0.027,138.40000000000003
1000,1000,25.54800000000025,1,0.03,148.4
1200,1200,30.897000000000453,1,0.018000000000000002,170.09999999999982
1400,1400,36.213000000000655,1,0.03,192.8999999999997
1700,1700,44.30400000000096,1,0.03,223.19999999999956
2000,2000,52.323000000001265,1,0.03,255.89999999999947
2500,2500,65.44500000000176,1,0.03,318.4999999999998
3000,3000,78.18900000000224,1,0.03,393.7000000000005
4000,4000,104.99400000000325,1,0.0,500.2000000000016
5000,5000,130.5630000000041,1,0.03,647.9000000000036
6000,6000,157.0500000000025,1,0.0,765.0000000000057
7000,7000,183.09000000000026,1,0.03,897.0000000000081
8000,8000,209.18999999999843,1,0.027,1027.0000000000095
9000,9000,235.9979999999975,1,0.03,1133.4000000000067
10000,10000,262.4189999999915,1,0.03,1252.6999999999998
