steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
137,1,-9.199999999999983,137,-9.199999999999983,-9.199999999999983,0.0,0.0
362,2,-18.29999999999999,225,-9.099999999999984,-18.29999999999999,0.0,0.0
1363,3,-30.000000000000156,1001,-11.699999999999974,-30.000000000000156,0.0,0.0
1769,4,-40.60000000000031,406,-10.599999999999978,-40.60000000000031,0.0,0.0
2179,5,-50.10000000000044,410,-9.499999999999982,-50.10000000000044,0.0,0.0
2596,6,-57.50000000000055,417,-7.39999999999999,-57.50000000000055,0.0,0.0
3264,7,-76.9999999999999,668,-19.500000000000007,-76.9999999999999,0.0,0.0
4118,8,-88.79999999999923,854,-11.799999999999974,-88.79999999999923,0.0,0.0
5119,9,-95.59999999999884,1001,-6.799999999999992,-95.59999999999884,0.0,0.0
6010,10,-103.99999999999837,891,-8.399999999999986,-103.99999999999837,0.0,0.0
7626,12,-109.39999999999806,1001,-3.5000000000000018,-109.39999999999806,0.0,0.0
9351,14,-117.09999999999762,725,-2.400000000000001,-117.09999999999762,0.0,0.0
12029,17,-127.79999999999701,676,-2.2000000000000006,-127.79999999999701,0.0,0.0
14498,20,-136.9999999999965,1001,-4.200000000000001,-136.9999999999965,0.0,0.0
19410,25,-153.29999999999558,1001,-3.600000000000002,-153.29999999999558,0.0,0.0
23654,30,-167.1999999999948,840,-3.2000000000000015,-167.1999999999948,0.0,0.0
33135,40,-198.89999999999299,1001,-3.800000000000002,-198.89999999999299,0.0,0.0
42274,50,-230.0999999999912,1001,-2.600000000000001,-230.0999999999912,0.0,0.0
51096,60,-260.6999999999908,1001,-2.1000000000000005,-260.6999999999908,0.0,0.0
60563,70,-290.49999999999756,674,-2.400000000000001,-290.49999999999756,0.0,0.0
69244,80,-319.3000000000041,1001,-2.800000000000001,-319.3000000000041,0.0,0.0
78809,90,-351.10000000001133,1001,-3.3000000000000016,-351.10000000001133,0.0,0.0
88476,100,-383.20000000001863,1001,-2.600000000000001,-383.20000000001863,0.0,0.0
106614,120,-444.00000000003246,1001,-3.0000000000000013,-444.00000000003246,0.0,0.0
125570,140,-509.4000000000473,1001,-2.700000000000001,-509.4000000000473,0.0,0.0
153025,170,-598.9000000000676,1001,-2.1000000000000005,-598.9000000000676,0.0,0.0
181705,200,-697.0000000000899,757,-2.1000000000000005,-697.0000000000899,0.0,0.0
227080,250,-849.4000000001246,809,-3.800000000000002,-849.4000000001246,0.0,0.0
274563,300,-1002.2000000001593,1001,-3.5000000000000018,-1002.2000000001593,0.0,0.0
367085,400,-1308.5999999999053,839,-2.3000000000000007,-1308.5999999999053,0.0,0.0
460571,500,-1622.19999999962,565,-2.2000000000000006,-1622.19999999962,0.0,0.0
554732,600,-1934.2999999993363,1001,-3.1000000000000014,-1934.2999999993363,0.0,0.0
648739,700,-2256.799999999043,826,-3.700000000000002,-2256.799999999043,0.0,0.0
741531,800,-2567.79999999876,1001,-3.700000000000002,-2567.79999999876,0.0,0.0
838701,900,-2887.899999998469,1001,-3.3000000000000016,-2887.899999998469,0.0,0.0
933616,1000,-3207.2999999981785,1001,-3.3000000000000016,-3207.2999999981785,0.0,0.0
