steps,episode,total_return,episode_len,episode_return,total_regret
1,1,0.03,1,0.03,0.0
2,2,0.039,1,0.009000000000000001,0.7
3,3,0.066,1,0.027,0.7999999999999999
4,4,0.084,1,0.018000000000000002,1.1999999999999997
5,5,0.099,1,0.015,1.6999999999999997
6,6,0.123,1,0.024,1.8999999999999997
7,7,0.126,1,0.003,2.8
8,8,0.138,1,0.012,3.4
9,9,0.14400000000000002,1,0.006,4.2
10,10,0.14400000000000002,1,0.0,5.2
12,12,0.168,1,0.021,6.4
14,14,0.198,1,0.0,7.4
17,17,0.252,1,0.018000000000000002,8.6
20,20,0.30900000000000005,1,0.024,9.7
25,25,0.3510000000000001,1,0.021,13.3
30,30,0.4620000000000002,1,0.018000000000000002,14.6
40,40,0.6300000000000003,1,0.012,19.0
50,50,0.7950000000000005,1,0.015,23.5
60,60,0.9540000000000006,1,0.03,28.2
70,70,1.1100000000000005,1,0.018000000000000002,33.0
80,80,1.29,1,0.009000000000000001,37.00000000000001
90,90,1.4519999999999997,1,0.009000000000000001,41.60000000000001
100,100,1.6469999999999994,1,0.009000000000000001,45.10000000000001
120,120,1.9529999999999985,1,0.012,54.900000000000006
140,140,2.2739999999999982,1,0.012,64.20000000000002
170,170,2.8709999999999956,1,0.027,74.3
200,200,3.4559999999999937,1,0.03,84.79999999999998
250,250,4.400999999999994,1,0.03,103.29999999999997
300,300,5.336999999999994,1,0.024,122.09999999999995
400,400,7.265999999999997,1,0.021,157.7999999999999
500,500,9.227999999999993,1,0.012,192.39999999999984
600,600,11.198999999999984,1,0.018000000000000002,226.6999999999998
700,700,13.24799999999997,1,0.018000000000000002,258.3999999999997
800,800,15.38399999999995,1,0.012,287.19999999999993
900,900,17.481,1,0.009000000000000001,317.30000000000007
1000,1000,19.683000000000085,1,0.009000000000000001,343.9000000000003
1200,1200,23.952000000000247,1,0.03,401.6000000000007
1400,1400,28.308000000000412,1,0.006,456.4000000000012
1700,1700,35.14500000000067,1,0.024,528.5000000000023
2000,2000,42.05100000000093,1,0.03,598.3000000000038
2500,2500,53.77200000000138,1,0.027,707.6000000000067
3000,3000,65.79900000000183,1,0.03,806.7000000000095
4000,4000,89.13600000000271,1,0.015,1028.8000000000145
5000,5000,114.38700000000367,1,0.024,1187.100000000002
6000,6000,138.1290000000036,1,0.03,1395.6999999999907
7000,7000,165.3150000000005,1,0.027,1489.4999999999761
8000,8000,189.10199999999617,1,0.027,1696.5999999999642
9000,9000,214.82999999999367,1,0.027,1838.9999999999523
10000,10000,241.13099999999127,1,0.03,1962.2999999999397
