steps,episode,total_return,episode_len,episode_return,total_regret
25,1,3.0,25,3.0,0.0
50,2,0.0,25,-3.0,2.0
75,3,-3.0,25,-3.0,4.0
100,4,-4.0,25,-1.0,6.0
125,5,1.0,25,5.0,6.0
150,6,-8.0,25,-9.0,6.0
175,7,-7.0,25,1.0,6.0
200,8,-4.0,25,3.0,6.0
225,9,5.0,25,9.0,6.0
250,10,4.0,25,-1.0,6.0
300,12,4.0,25,5.0,10.0
350,14,4.0,25,-3.0,10.0
425,17,-17.0,25,-1.0,12.0
500,20,-14.0,25,-1.0,16.0
625,25,-15.0,25,-5.0,20.0
750,30,-10.0,25,7.0,24.0
1000,40,-8.0,25,-1.0,38.0
1250,50,-6.0,25,-1.0,48.0
1500,60,14.0,25,-3.0,62.0
1750,70,4.0,25,-1.0,70.0
2000,80,20.0,25,11.0,76.0
2250,90,32.0,25,7.0,84.0
2500,100,74.0,25,7.0,90.0
3000,120,52.0,25,-5.0,110.0
3500,140,44.0,25,1.0,128.0
4250,170,54.0,25,-3.0,160.0
5000,200,92.0,25,1.0,192.0
6250,250,100.0,25,5.0,234.0
7500,300,134.0,25,-1.0,280.0
10000,400,22.0,25,3.0,380.0
12500,500,100.0,25,5.0,486.0
15000,600,44.0,25,5.0,598.0
17500,700,28.0,25,-1.0,706.0
20000,800,108.0,25,1.0,806.0
22500,900,84.0,25,-5.0,908.0
25000,1000,130.0,25,3.0,1014.0
30000,1200,134.0,25,-5.0,1220.0
35000,1400,212.0,25,-7.0,1382.0
42500,1700,260.0,25,3.0,1634.0
50000,2000,240.0,25,1.0,1900.0
62500,2500,198.0,25,1.0,2362.0
75000,3000,-60.0,25,3.0,2860.0
100000,4000,246.0,25,7.0,3700.0
125000,5000,334.0,25,1.0,4456.0
150000,6000,774.0,25,-1.0,5214.0
175000,7000,994.0,25,-1.0,5942.0
200000,8000,1182.0,25,9.0,6668.0
225000,9000,1398.0,25,-1.0,7404.0
250000,10000,1532.0,25,1.0,8092.0
