steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
130,1,-8.599999999999985,130,-8.599999999999985,-8.599999999999985,0.0,0.0
471,2,-17.899999999999984,341,-9.299999999999983,-17.899999999999984,0.0,0.0
809,3,-26.0000000000001,338,-8.099999999999987,-26.0000000000001,0.0,0.0
941,4,-36.10000000000024,132,-10.09999999999998,-36.10000000000024,0.0,0.0
1091,5,-45.00000000000037,150,-8.899999999999984,-45.00000000000037,0.0,0.0
1230,6,-55.300000000000516,139,-10.29999999999998,-55.300000000000516,0.0,0.0
2231,7,-67.50000000000044,1001,-12.199999999999973,-67.50000000000044,0.0,0.0
2922,8,-86.49999999999936,691,-19.0,-86.49999999999936,0.0,0.0
3880,9,-96.69999999999878,958,-10.19999999999998,-96.69999999999878,0.0,0.0
4853,10,-106.29999999999824,973,-9.599999999999982,-106.29999999999824,0.0,0.0
6466,12,-111.79999999999792,612,-1.9000000000000006,-111.79999999999792,0.0,0.0
8264,14,-122.19999999999733,1001,-7.499999999999989,-122.19999999999733,0.0,0.0
11265,17,-136.59999999999653,1001,-4.000000000000002,-136.59999999999653,0.0,0.0
13826,20,-145.899999999996,559,-2.700000000000001,-145.899999999996,0.0,0.0
18831,25,-162.49999999999505,1001,-2.500000000000001,-162.49999999999505,0.0,0.0
23582,30,-178.19999999999416,1001,-3.5000000000000018,-178.19999999999416,0.0,0.0
33039,40,-209.89999999999236,952,-3.800000000000002,-209.89999999999236,0.0,0.0
42172,50,-241.29999999999058,1001,-2.800000000000001,-241.29999999999058,0.0,0.0
51125,60,-271.99999999999335,1001,-2.2000000000000006,-271.99999999999335,0.0,0.0
60649,70,-301.8000000000001,814,-2.600000000000001,-301.8000000000001,0.0,0.0
69374,80,-331.2000000000068,1001,-2.9000000000000012,-331.2000000000068,0.0,0.0
78594,90,-361.6000000000137,1001,-3.1000000000000014,-361.6000000000137,0.0,0.0
88476,100,-394.4000000000212,1001,-2.600000000000001,-394.4000000000212,0.0,0.0
106370,120,-454.50000000003485,692,-2.1000000000000005,-454.50000000003485,0.0,0.0
125541,140,-520.6000000000498,1001,-2.700000000000001,-520.6000000000498,0.0,0.0
153100,170,-610.1000000000702,753,-1.4000000000000001,-610.1000000000702,0.0,0.0
181136,200,-706.6000000000921,663,-2.500000000000001,-706.6000000000921,0.0,0.0
227178,250,-860.9000000001272,895,-4.100000000000001,-860.9000000001272,0.0,0.0
273627,300,-1010.1000000001611,1001,-3.4000000000000017,-1010.1000000001611,0.0,0.0
365347,400,-1314.1999999999002,1001,-4.699999999999999,-1314.1999999999002,0.0,0.0
460434,500,-1632.8999999996104,522,-2.0000000000000004,-1632.8999999996104,0.0,0.0
554934,600,-1945.9999999993256,1001,-3.1000000000000014,-1945.9999999993256,0.0,0.0
648761,700,-2268.0999999990327,869,-4.100000000000001,-2268.0999999990327,0.0,0.0
741573,800,-2578.99999999875,1001,-3.5000000000000018,-2578.99999999875,0.0,0.0
837784,900,-2896.1999999984614,963,-3.600000000000002,-2896.1999999984614,0.0,0.0
931320,1000,-3210.2999999981757,1001,-3.4000000000000017,-3210.2999999981757,0.0,0.0
