steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
70,1,69.0,70,69.0,69.0,69.0
104,2,102.0,34,33.0,102.0,69.0
183,3,180.0,79,78.0,180.0,78.0
222,4,218.0,39,38.0,218.0,78.0
273,5,268.0,51,50.0,268.0,78.0
308,6,302.0,35,34.0,302.0,78.0
370,7,363.0,62,61.0,363.0,78.0
417,8,409.0,47,46.0,409.0,78.0
481,9,472.0,64,63.0,472.0,78.0
535,10,525.0,54,53.0,525.0,78.0
631,12,619.0,45,44.0,619.0,78.0
722,14,708.0,39,38.0,708.0,78.0
831,17,814.0,34,33.0,814.0,78.0
966,20,946.0,48,47.0,946.0,78.0
1175,25,1150.0,54,53.0,1150.0,78.0
1445,30,1415.0,60,59.0,1415.0,89.0
2016,40,1976.0,63,62.0,1976.0,89.0
2623,50,2573.0,53,52.0,2573.0,89.0
3269,60,3209.0,81,80.0,3209.0,89.0
3905,70,3835.0,55,54.0,3835.0,89.0
4542,80,4462.0,55,54.0,4462.0,89.0
5139,90,5049.0,42,41.0,5049.0,89.0
5675,100,5575.0,58,57.0,5575.0,89.0
6701,120,6581.0,50,49.0,6581.0,89.0
7857,140,7717.0,37,36.0,7717.0,137.0
10169,170,9999.0,134,133.0,9999.0,142.0
14977,200,14777.0,208,207.0,14777.0,220.0
24365,250,24115.0,212,211.0,24115.0,291.0
29383,300,29083.0,92,91.0,29083.0,291.0
42893,400,42493.0,78,77.0,42493.0,390.0
61795,500,61295.0,170,169.0,61295.0,799.0
83888,600,83288.0,189,188.0,83288.0,799.0
111812,700,111115.0,328,327.0,111115.0,1001.0
137627,800,136830.0,157,156.0,136830.0,1001.0
180070,900,179186.0,1001,1001.0,179186.0,1001.0
225782,1000,224811.0,284,283.0,224811.0,1001.0
