steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
71,1,70.0,71,70.0,70.0,70.0
104,2,102.0,33,32.0,102.0,70.0
181,3,178.0,77,76.0,178.0,76.0
220,4,216.0,39,38.0,216.0,76.0
254,5,249.0,34,33.0,249.0,76.0
305,6,299.0,51,50.0,299.0,76.0
362,7,355.0,57,56.0,355.0,76.0
430,8,422.0,68,67.0,422.0,76.0
507,9,498.0,77,76.0,498.0,76.0
546,10,536.0,39,38.0,536.0,76.0
695,12,683.0,109,108.0,683.0,108.0
828,14,814.0,81,80.0,814.0,108.0
1084,17,1067.0,67,66.0,1067.0,108.0
1199,20,1179.0,30,29.0,1179.0,108.0
1441,25,1416.0,66,65.0,1416.0,108.0
1720,30,1690.0,61,60.0,1690.0,108.0
2410,40,2370.0,61,60.0,2370.0,123.0
2984,50,2934.0,49,48.0,2934.0,123.0
3545,60,3485.0,52,51.0,3485.0,123.0
4126,70,4056.0,62,61.0,4056.0,123.0
4723,80,4643.0,70,69.0,4643.0,123.0
5343,90,5253.0,64,63.0,5253.0,123.0
6003,100,5903.0,90,89.0,5903.0,123.0
7901,120,7781.0,46,45.0,7781.0,137.0
9335,140,9195.0,56,55.0,9195.0,137.0
13084,170,12914.0,78,77.0,12914.0,240.0
17694,200,17494.0,167,166.0,17494.0,240.0
26413,250,26163.0,210,209.0,26163.0,240.0
44486,300,44186.0,339,338.0,44186.0,803.0
83995,400,83596.0,355,354.0,83596.0,1001.0
108317,500,107818.0,220,219.0,107818.0,1001.0
151109,600,150512.0,263,262.0,150512.0,1001.0
205350,700,204675.0,577,576.0,204675.0,1001.0
253618,800,252869.0,1001,1001.0,252869.0,1001.0
316069,900,315267.0,87,86.0,315267.0,1001.0
390805,1000,389950.0,1001,1001.0,389950.0,1001.0
