steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
149,1,-9.799999999999981,149,-9.799999999999981,-9.799999999999981,0.0,0.0
532,2,-19.80000000000001,383,-9.99999999999998,-19.80000000000001,0.0,0.0
1533,3,-29.000000000000142,1001,-9.199999999999983,-29.000000000000142,0.0,0.0
2012,4,-38.400000000000276,479,-9.399999999999983,-38.400000000000276,0.0,0.0
2674,5,-54.70000000000051,662,-16.29999999999996,-54.70000000000051,0.0,0.0
3675,6,-57.90000000000055,1001,-3.2000000000000015,-57.90000000000055,0.0,0.0
4676,7,-61.70000000000061,1001,-3.800000000000002,-61.70000000000061,0.0,0.0
5519,8,-69.40000000000033,843,-7.699999999999989,-69.40000000000033,0.0,0.0
6520,9,-72.30000000000017,1001,-2.9000000000000012,-72.30000000000017,0.0,0.0
7521,10,-81.09999999999967,1001,-8.799999999999985,-81.09999999999967,0.0,0.0
9428,12,-89.59999999999918,906,-3.1000000000000014,-89.59999999999918,0.0,0.0
11192,14,-97.09999999999876,1001,-3.800000000000002,-97.09999999999876,0.0,0.0
13487,17,-104.89999999999831,424,-1.8000000000000005,-104.89999999999831,0.0,0.0
16490,20,-116.69999999999764,1001,-4.100000000000001,-116.69999999999764,0.0,0.0
21028,25,-130.79999999999686,981,-2.9000000000000012,-130.79999999999686,0.0,0.0
25665,30,-144.99999999999605,980,-2.0000000000000004,-144.99999999999605,0.0,0.0
35068,40,-177.3999999999942,1001,-3.5000000000000018,-177.3999999999942,0.0,0.0
43911,50,-208.59999999999243,1001,-3.5000000000000018,-208.59999999999243,0.0,0.0
53085,60,-239.99999999999065,1001,-4.300000000000001,-239.99999999999065,0.0,0.0
62213,70,-269.1999999999927,596,-2.600000000000001,-269.1999999999927,0.0,0.0
71383,80,-299.19999999999953,1001,-3.2000000000000015,-299.19999999999953,0.0,0.0
80419,90,-329.9000000000065,906,-3.900000000000002,-329.9000000000065,0.0,0.0
89789,100,-360.00000000001336,1001,-3.700000000000002,-360.00000000001336,0.0,0.0
108313,120,-423.2000000000277,1001,-3.700000000000002,-423.2000000000277,0.0,0.0
126559,140,-485.5000000000419,1001,-4.000000000000002,-485.5000000000419,0.0,0.0
154336,170,-575.5000000000623,828,-3.2000000000000015,-575.5000000000623,0.0,0.0
182232,200,-671.000000000084,1001,-3.3000000000000016,-671.000000000084,0.0,0.0
228460,250,-825.5000000001191,1001,-2.3000000000000007,-825.5000000001191,0.0,0.0
276779,300,-980.4000000001544,1001,-2.700000000000001,-980.4000000001544,0.0,0.0
369564,400,-1288.6999999999234,1001,-2.9000000000000012,-1288.6999999999234,0.0,0.0
464177,500,-1605.699999999635,1001,-2.9000000000000012,-1605.699999999635,0.0,0.0
557676,600,-1916.6999999993523,1001,-3.700000000000002,-1916.6999999993523,0.0,0.0
650830,700,-2235.999999999062,1001,-3.5000000000000018,-2235.999999999062,0.0,0.0
743496,800,-2546.4999999987795,1001,-3.700000000000002,-2546.4999999987795,0.0,0.0
838727,900,-2860.0999999984942,1001,-3.3000000000000016,-2860.0999999984942,0.0,0.0
933038,1000,-3177.2999999982057,843,-3.1000000000000014,-3177.2999999982057,0.0,0.0
