steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
144,1,-9.99999999999998,144,-9.99999999999998,-9.99999999999998,0.0,0.0
656,2,-37.80000000000027,512,-27.800000000000125,-37.80000000000027,0.0,0.0
1657,3,-41.30000000000032,1001,-3.5000000000000018,-41.30000000000032,0.0,0.0
2298,4,-60.800000000000594,641,-19.500000000000007,-60.800000000000594,0.0,0.0
2855,5,-63.30000000000063,557,-2.500000000000001,-63.30000000000063,0.0,0.0
3856,6,-67.70000000000043,1001,-4.4,-67.70000000000043,0.0,0.0
4857,7,-71.10000000000024,1001,-3.4000000000000017,-71.10000000000024,0.0,0.0
5858,8,-73.10000000000012,1001,-2.0000000000000004,-73.10000000000012,0.0,0.0
6503,9,-75.3,645,-2.2000000000000006,-75.3,0.0,0.0
7246,10,-83.39999999999954,743,-8.099999999999987,-83.39999999999954,0.0,0.0
8910,12,-90.69999999999912,663,-2.2000000000000006,-90.69999999999912,0.0,0.0
10574,14,-97.79999999999872,1001,-4.5,-97.79999999999872,0.0,0.0
12722,17,-104.99999999999831,758,-2.2000000000000006,-104.99999999999831,0.0,0.0
15724,20,-116.49999999999766,1001,-3.700000000000002,-116.49999999999766,0.0,0.0
19992,25,-130.79999999999686,509,-2.3000000000000007,-130.79999999999686,0.0,0.0
24485,30,-145.49999999999602,1001,-3.5000000000000018,-145.49999999999602,0.0,0.0
34082,40,-176.99999999999423,951,-2.9000000000000012,-176.99999999999423,0.0,0.0
42963,50,-208.39999999999245,716,-3.1000000000000014,-208.39999999999245,0.0,0.0
51873,60,-238.29999999999075,1001,-2.600000000000001,-238.29999999999075,0.0,0.0
61617,70,-269.6999999999928,1001,-3.900000000000002,-269.6999999999928,0.0,0.0
70434,80,-299.4999999999996,950,-4.000000000000002,-299.4999999999996,0.0,0.0
79586,90,-329.60000000000645,1001,-4.000000000000002,-329.60000000000645,0.0,0.0
89506,100,-362.10000000001384,1001,-3.5000000000000018,-362.10000000001384,0.0,0.0
