steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
137,1,-9.199999999999983,137,-9.199999999999983,-9.199999999999983,0.0,0.0
387,2,-19.200000000000003,250,-9.99999999999998,-19.200000000000003,0.0,0.0
1041,3,-48.10000000000041,654,-28.90000000000014,-48.10000000000041,0.0,0.0
1599,4,-57.400000000000546,558,-9.299999999999983,-57.400000000000546,0.0,0.0
2468,5,-64.50000000000061,869,-7.099999999999991,-64.50000000000061,0.0,0.0
3469,6,-71.50000000000021,1001,-6.999999999999991,-71.50000000000021,0.0,0.0
4470,7,-75.49999999999999,1001,-4.000000000000002,-75.49999999999999,0.0,0.0
5236,8,-82.59999999999958,766,-7.099999999999991,-82.59999999999958,0.0,0.0
6237,9,-85.19999999999943,1001,-2.600000000000001,-85.19999999999943,0.0,0.0
6908,10,-87.89999999999928,671,-2.700000000000001,-87.89999999999928,0.0,0.0
8910,12,-97.39999999999874,1001,-6.099999999999994,-97.39999999999874,0.0,0.0
10485,14,-104.59999999999833,1001,-4.5,-104.59999999999833,0.0,0.0
12744,17,-112.0999999999979,754,-2.2000000000000006,-112.0999999999979,0.0,0.0
15657,20,-123.19999999999727,1001,-3.5000000000000018,-123.19999999999727,0.0,0.0
20128,25,-138.29999999999643,786,-3.0000000000000013,-138.29999999999643,0.0,0.0
24558,30,-152.8999999999956,923,-3.4000000000000017,-152.8999999999956,0.0,0.0
34082,40,-184.09999999999383,1001,-3.1000000000000014,-184.09999999999383,0.0,0.0
42915,50,-215.29999999999205,1001,-3.900000000000002,-215.29999999999205,0.0,0.0
51708,60,-244.69999999999038,1001,-2.3000000000000007,-244.69999999999038,0.0,0.0
61718,70,-277.3999999999946,1001,-4.300000000000001,-277.3999999999946,0.0,0.0
71246,80,-309.1000000000018,1001,-3.4000000000000017,-309.1000000000018,0.0,0.0
80858,90,-341.8000000000092,1001,-3.600000000000002,-341.8000000000092,0.0,0.0
89995,100,-370.4000000000157,514,-1.3,-370.4000000000157,0.0,0.0
108282,120,-433.10000000003,1001,-3.4000000000000017,-433.10000000003,0.0,0.0
127444,140,-499.00000000004496,1001,-3.3000000000000016,-499.00000000004496,0.0,0.0
155210,170,-588.7000000000653,869,-3.0000000000000013,-588.7000000000653,0.0,0.0
182849,200,-683.4000000000868,1001,-3.5000000000000018,-683.4000000000868,0.0,0.0
228239,250,-835.1000000001213,1001,-2.700000000000001,-835.1000000001213,0.0,0.0
274716,300,-985.2000000001555,1001,-3.700000000000002,-985.2000000001555,0.0,0.0
365013,400,-1284.1999999999275,1001,-5.1999999999999975,-1284.1999999999275,0.0,0.0
460036,500,-1602.399999999638,851,-2.700000000000001,-1602.399999999638,0.0,0.0
553931,600,-1913.9999999993547,874,-3.0000000000000013,-1913.9999999993547,0.0,0.0
647430,700,-2233.699999999064,1001,-3.700000000000002,-2233.699999999064,0.0,0.0
738527,800,-2539.499999998786,991,-3.0000000000000013,-2539.499999998786,0.0,0.0
835391,900,-2857.8999999984962,1001,-3.2000000000000015,-2857.8999999984962,0.0,0.0
925353,1000,-3161.1999999982204,1001,-3.3000000000000016,-3161.1999999982204,0.0,0.0
