steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
139,1,-8.899999999999984,139,-8.899999999999984,-8.899999999999984,0.0,0.0
509,2,-27.100000000000115,370,-18.19999999999999,-27.100000000000115,0.0,0.0
770,3,-34.30000000000022,261,-7.19999999999999,-34.30000000000022,0.0,0.0
1771,4,-48.10000000000041,1001,-13.799999999999967,-48.10000000000041,0.0,0.0
2379,5,-55.10000000000051,608,-6.999999999999991,-55.10000000000051,0.0,0.0
2784,6,-63.40000000000063,405,-8.299999999999986,-63.40000000000063,0.0,0.0
3472,7,-75.89999999999996,688,-12.499999999999972,-75.89999999999996,0.0,0.0
4397,8,-86.19999999999938,925,-10.29999999999998,-86.19999999999938,0.0,0.0
5398,9,-98.0999999999987,1001,-11.899999999999974,-98.0999999999987,0.0,0.0
6399,10,-101.49999999999851,1001,-3.4000000000000017,-101.49999999999851,0.0,0.0
8367,12,-109.89999999999803,1001,-5.1999999999999975,-109.89999999999803,0.0,0.0
9664,14,-114.79999999999775,731,-3.0000000000000013,-114.79999999999775,0.0,0.0
12043,17,-124.09999999999722,563,-1.9000000000000006,-124.09999999999722,0.0,0.0
14465,20,-133.19999999999672,1001,-4.4,-133.19999999999672,0.0,0.0
19344,25,-149.2999999999958,1001,-3.700000000000002,-149.2999999999958,0.0,0.0
24095,30,-164.69999999999493,848,-3.0000000000000013,-164.69999999999493,0.0,0.0
33932,40,-197.89999999999304,1001,-3.3000000000000016,-197.89999999999304,0.0,0.0
42755,50,-228.19999999999132,710,-2.3000000000000007,-228.19999999999132,0.0,0.0
51813,60,-258.9999999999904,1001,-2.600000000000001,-258.9999999999904,0.0,0.0
61679,70,-291.0999999999977,1001,-4.100000000000001,-291.0999999999977,0.0,0.0
70402,80,-320.30000000000433,499,-2.2000000000000006,-320.30000000000433,0.0,0.0
79641,90,-350.70000000001124,1001,-4.100000000000001,-350.70000000001124,0.0,0.0
89486,100,-383.0000000000186,1001,-3.5000000000000018,-383.0000000000186,0.0,0.0
107304,120,-443.60000000003237,907,-4.100000000000001,-443.60000000003237,0.0,0.0
126565,140,-509.6000000000474,1001,-4.000000000000002,-509.6000000000474,0.0,0.0
154016,170,-598.1000000000674,1000,-3.0000000000000013,-598.1000000000674,0.0,0.0
183193,200,-698.6000000000903,1001,-3.600000000000002,-698.6000000000903,0.0,0.0
226894,250,-845.2000000001236,728,-3.600000000000002,-845.2000000001236,0.0,0.0
273706,300,-995.4000000001578,1001,-3.5000000000000018,-995.4000000001578,0.0,0.0
364477,400,-1295.2999999999174,613,-2.9000000000000012,-1295.2999999999174,0.0,0.0
459165,500,-1613.499999999628,1001,-3.1000000000000014,-1613.499999999628,0.0,0.0
551817,600,-1920.199999999349,797,-3.0000000000000013,-1920.199999999349,0.0,0.0
643857,700,-2235.799999999062,1001,-3.900000000000002,-2235.799999999062,0.0,0.0
735645,800,-2542.9999999987826,847,-3.1000000000000014,-2542.9999999987826,0.0,0.0
831277,900,-2857.5999999984965,684,-2.600000000000001,-2857.5999999984965,0.0,0.0
923249,1000,-3169.199999998213,1001,-4.699999999999999,-3169.199999998213,0.0,0.0
