steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
34,1,-0.004999999999999999,34,-0.004999999999999999,1,0
68,2,-0.009411764705882347,34,-0.004411764705882353,2,0
102,3,-0.015588235294117634,34,-0.006176470588235292,3,0
136,4,-0.019999999999999983,34,-0.004411764705882353,4,0
170,5,-0.02441176470588233,34,-0.004411764705882353,5,0
204,6,-0.028529411764705855,34,-0.00411764705882353,6,0
238,7,0.16319438848958065,34,0.1917238002542865,7,0
272,8,-0.4066931848930192,34,-0.5698875733825998,8,0
306,9,-0.4102225966577252,34,-0.003529411764705883,9,0
340,10,-0.4137520084224312,34,-0.003529411764705883,10,0
408,12,-0.42198730254007855,34,-0.003529411764705883,12,0
476,14,-0.007120492268580636,34,0.4195726926244394,14,0
578,17,-0.02035578638622768,34,-0.004411764705882353,17,0
680,20,0.32250619276529996,34,-0.00411764705882353,20,0
850,25,-0.9707786565683916,34,-0.5168673440411772,25,0
1020,30,-0.9943080683330938,34,-0.004411764705882353,30,0
1360,40,-1.0425433624507334,34,-0.004999999999999999,40,0
1700,50,-1.0969551271566074,34,-0.005588235294117646,50,0
2040,60,-1.1519551271565989,34,-0.006176470588235292,60,0
2380,70,-1.2066610095095316,34,-0.005294117647058822,70,0
2720,80,-1.261661009509523,34,-0.005882352941176469,80,0
3060,90,-1.3098963036271627,34,-0.00411764705882353,90,0
3400,100,-1.357249244803626,34,-0.00411764705882353,100,0
4080,120,-2.712082516092364,34,-0.005294117647058822,120,0
4760,140,-1.8728414967147025,34,-0.006176470588235292,140,0
5780,170,-8.565985446885454,34,-0.004999999999999999,167,0
6800,200,-8.717161917473552,34,-0.005294117647058822,197,0
8500,250,-8.483473846982466,34,-0.0070588235294117615,245,0
10200,300,-8.710532670511672,34,-0.005294117647058822,294,0
13600,400,-9.919890536082763,34,-0.00411764705882353,392,0
17000,500,-9.640428427956836,34,-0.003529411764705883,492,0
20400,600,-9.9368005269413,34,-0.002058823529411765,589,0
23800,700,-7.109338492070416,34,2.2052019043933533,689,0
27200,800,-15.958252805557947,34,-0.005882352941176469,787,0
30600,900,-16.443252805557506,34,-0.004999999999999999,883,0
34000,1000,-15.964045948163147,34,-0.006470588235294115,982,0
40800,1200,-3.649793920147855,34,-1.0436952349997268,1174,0
47600,1400,-15.123729666305938,34,-0.003529411764705883,1374,0
57800,1700,-20.10254080989582,34,-0.004705882352941176,1663,0
68000,2000,-17.327910772570863,34,1.8211536074515668,1960,0
85000,2500,-12.413021350091102,34,-0.005588235294117646,2449,0
102000,3000,-25.013384181517207,34,-0.006764705882352938,2927,0
136000,4000,-26.694530224343954,34,-0.005294117647058822,3914,0
170000,5000,-41.971980923074305,34,-0.2024573184638758,4884,0
204000,6000,-40.44190935015096,34,-0.5426747665071676,5870,0
238000,7000,-58.44022824562985,34,-0.003529411764705883,6860,0
272000,8000,-82.64320116064714,34,-0.00411764705882353,7831,0
306000,9000,-119.83318824128303,34,-0.004999999999999999,8812,0
340000,10000,-118.96454407791312,34,-0.004999999999999999,9793,0
