steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
69,1,68.0,69,68.0,68.0,68.0
104,2,102.0,35,34.0,102.0,68.0
181,3,178.0,77,76.0,178.0,76.0
220,4,216.0,39,38.0,216.0,76.0
263,5,258.0,43,42.0,258.0,76.0
310,6,304.0,47,46.0,304.0,76.0
401,7,394.0,91,90.0,394.0,90.0
516,8,508.0,115,114.0,508.0,114.0
687,9,678.0,171,170.0,678.0,170.0
748,10,738.0,61,60.0,738.0,170.0
918,12,906.0,106,105.0,906.0,170.0
1064,14,1050.0,89,88.0,1050.0,170.0
1219,17,1202.0,57,56.0,1202.0,170.0
1363,20,1343.0,42,41.0,1343.0,170.0
1662,25,1637.0,60,59.0,1637.0,170.0
2100,30,2070.0,136,135.0,2070.0,170.0
2811,40,2771.0,48,47.0,2771.0,170.0
4190,50,4140.0,154,153.0,4140.0,170.0
5711,60,5651.0,162,161.0,5651.0,170.0
7262,70,7192.0,155,154.0,7192.0,170.0
8819,80,8739.0,157,156.0,8739.0,170.0
10394,90,10304.0,155,154.0,10304.0,170.0
11974,100,11874.0,147,146.0,11874.0,170.0
14197,120,14077.0,148,147.0,14077.0,170.0
16179,140,16039.0,138,137.0,16039.0,206.0
18792,170,18622.0,169,168.0,18622.0,206.0
23737,200,23537.0,162,161.0,23537.0,206.0
36321,250,36073.0,296,295.0,36073.0,1001.0
65460,300,65167.0,569,568.0,65167.0,1001.0
102091,400,101698.0,289,288.0,101698.0,1001.0
123193,500,122700.0,173,172.0,122700.0,1001.0
138082,600,137489.0,117,116.0,137489.0,1001.0
145031,700,144338.0,107,106.0,144338.0,1001.0
160303,800,159510.0,295,294.0,159510.0,1001.0
175273,900,174380.0,199,198.0,174380.0,1001.0
195189,1000,194196.0,268,267.0,194196.0,1001.0
