steps,episode,total_return,episode_len,episode_return,total_regret
20,1,10.0,20,10.0,2.0
40,2,10.0,20,0.0,2.0
60,3,8.0,20,-2.0,2.0
80,4,4.0,20,-4.0,4.0
100,5,-2.0,20,-6.0,6.0
120,6,-2.0,20,0.0,8.0
140,7,-6.0,20,-4.0,8.0
160,8,-8.0,20,-2.0,8.0
180,9,-12.0,20,-4.0,8.0
200,10,-14.0,20,-2.0,8.0
240,12,-10.0,20,-2.0,8.0
280,14,-4.0,20,2.0,8.0
340,17,0.0,20,2.0,14.0
400,20,-6.0,20,-2.0,16.0
500,25,-4.0,20,-8.0,22.0
600,30,4.0,20,0.0,24.0
800,40,-4.0,20,4.0,32.0
1000,50,22.0,20,6.0,44.0
1200,60,24.0,20,2.0,52.0
1400,70,8.0,20,2.0,66.0
1600,80,18.0,20,8.0,78.0
1800,90,14.0,20,-2.0,92.0
2000,100,16.0,20,4.0,100.0
2400,120,72.0,20,4.0,118.0
2800,140,86.0,20,2.0,136.0
3400,170,88.0,20,-4.0,166.0
4000,200,88.0,20,-6.0,200.0
5000,250,98.0,20,0.0,252.0
6000,300,104.0,20,0.0,320.0
8000,400,60.0,20,4.0,428.0
10000,500,96.0,20,8.0,526.0
12000,600,62.0,20,0.0,638.0
14000,700,-50.0,20,-4.0,760.0
16000,800,-72.0,20,-4.0,856.0
18000,900,-128.0,20,0.0,968.0
20000,1000,-98.0,20,0.0,1072.0
24000,1200,-2.0,20,0.0,1268.0
28000,1400,102.0,20,-4.0,1468.0
34000,1700,100.0,20,-2.0,1762.0
40000,2000,204.0,20,0.0,2016.0
50000,2500,200.0,20,-4.0,2442.0
60000,3000,368.0,20,-2.0,2830.0
80000,4000,404.0,20,2.0,3592.0
100000,5000,668.0,20,0.0,4290.0
120000,6000,1200.0,20,2.0,4982.0
140000,7000,1256.0,20,-4.0,5592.0
160000,8000,1630.0,20,-2.0,6312.0
180000,9000,2152.0,20,-2.0,6924.0
200000,10000,2144.0,20,2.0,7596.0
