steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
73,1,72.0,73,72.0,72.0,72.0
108,2,106.0,35,34.0,106.0,72.0
191,3,188.0,83,82.0,188.0,82.0
256,4,252.0,65,64.0,252.0,82.0
320,5,315.0,64,63.0,315.0,82.0
373,6,367.0,53,52.0,367.0,82.0
443,7,436.0,70,69.0,436.0,82.0
493,8,485.0,50,49.0,485.0,82.0
548,9,539.0,55,54.0,539.0,82.0
592,10,582.0,44,43.0,582.0,82.0
696,12,684.0,45,44.0,684.0,82.0
783,14,769.0,38,37.0,769.0,82.0
945,17,928.0,57,56.0,928.0,82.0
1292,20,1272.0,147,146.0,1272.0,146.0
1767,25,1742.0,95,94.0,1742.0,146.0
2228,30,2198.0,45,44.0,2198.0,146.0
2899,40,2859.0,51,50.0,2859.0,146.0
4077,50,4027.0,131,130.0,4027.0,146.0
5225,60,5165.0,132,131.0,5165.0,146.0
6274,70,6204.0,126,125.0,6204.0,146.0
7415,80,7335.0,131,130.0,7335.0,146.0
8578,90,8488.0,132,131.0,8488.0,146.0
9739,100,9639.0,127,126.0,9639.0,146.0
12163,120,12043.0,53,52.0,12043.0,146.0
13331,140,13191.0,42,41.0,13191.0,146.0
15117,170,14947.0,39,38.0,14947.0,146.0
18144,200,17944.0,127,126.0,17944.0,164.0
24529,250,24279.0,132,131.0,24279.0,199.0
30354,300,30054.0,143,142.0,30054.0,199.0
42419,400,42019.0,180,179.0,42019.0,216.0
69980,500,69489.0,1001,1001.0,69489.0,1001.0
129808,600,129234.0,388,387.0,129234.0,1001.0
159269,700,158595.0,170,169.0,158595.0,1001.0
176881,800,176107.0,221,220.0,176107.0,1001.0
192564,900,191690.0,122,121.0,191690.0,1001.0
199084,1000,198110.0,36,35.0,198110.0,1001.0
