steps,episode,total_return,episode_len,episode_return,raw_return,best_episode
68,1,67.0,68,67.0,67.0,67.0
104,2,102.0,36,35.0,102.0,67.0
187,3,184.0,83,82.0,184.0,82.0
234,4,230.0,47,46.0,230.0,82.0
291,5,286.0,57,56.0,286.0,82.0
354,6,348.0,63,62.0,348.0,82.0
417,7,410.0,63,62.0,410.0,82.0
472,8,464.0,55,54.0,464.0,82.0
524,9,515.0,52,51.0,515.0,82.0
571,10,561.0,47,46.0,561.0,82.0
680,12,668.0,52,51.0,668.0,82.0
771,14,757.0,46,45.0,757.0,82.0
1174,17,1157.0,158,157.0,1157.0,186.0
1463,20,1443.0,63,62.0,1443.0,186.0
1806,25,1781.0,79,78.0,1781.0,186.0
2443,30,2413.0,132,131.0,2413.0,216.0
3366,40,3326.0,126,125.0,3326.0,216.0
4704,50,4654.0,138,137.0,4654.0,216.0
6105,60,6045.0,142,141.0,6045.0,216.0
7560,70,7490.0,144,143.0,7490.0,216.0
9068,80,8988.0,145,144.0,8988.0,216.0
10588,90,10498.0,156,155.0,10498.0,216.0
12004,100,11904.0,127,126.0,11904.0,216.0
15105,120,14985.0,166,165.0,14985.0,216.0
18451,140,18311.0,189,188.0,18311.0,216.0
24248,170,24078.0,160,159.0,24078.0,268.0
28894,200,28694.0,161,160.0,28694.0,268.0
38138,250,37888.0,168,167.0,37888.0,268.0
68227,300,67943.0,585,584.0,67943.0,1001.0
105417,400,105033.0,238,237.0,105033.0,1001.0
123185,500,122701.0,158,157.0,122701.0,1001.0
135004,600,134420.0,89,88.0,134420.0,1001.0
145919,700,145235.0,78,77.0,145235.0,1001.0
154649,800,153865.0,63,62.0,153865.0,1001.0
162876,900,161992.0,57,56.0,161992.0,1001.0
169466,1000,168482.0,145,144.0,168482.0,1001.0
