steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
126,1,-8.599999999999985,126,-8.599999999999985,-8.599999999999985,0.0,0.0
336,2,-16.99999999999997,210,-8.399999999999986,-16.99999999999997,0.0,0.0
1070,3,-27.900000000000126,734,-10.899999999999977,-27.900000000000126,0.0,0.0
2071,4,-58.700000000000564,1001,-30.800000000000168,-58.700000000000564,0.0,0.0
2645,5,-61.3000000000006,574,-2.600000000000001,-61.3000000000006,0.0,0.0
3309,6,-79.39999999999976,664,-18.099999999999987,-79.39999999999976,0.0,0.0
4112,7,-92.49999999999902,803,-13.09999999999997,-92.49999999999902,0.0,0.0
5113,8,-96.89999999999877,1001,-4.4,-96.89999999999877,0.0,0.0
6114,9,-99.39999999999863,1001,-2.500000000000001,-99.39999999999863,0.0,0.0
6649,10,-100.99999999999854,535,-1.6000000000000003,-100.99999999999854,0.0,0.0
8651,12,-110.79999999999798,1001,-6.299999999999994,-110.79999999999798,0.0,0.0
10371,14,-117.79999999999758,963,-4.300000000000001,-117.79999999999758,0.0,0.0
12751,17,-125.99999999999712,808,-2.2000000000000006,-125.99999999999712,0.0,0.0
15690,20,-137.2999999999965,1001,-3.5000000000000018,-137.2999999999965,0.0,0.0
20169,25,-152.29999999999563,828,-3.2000000000000015,-152.29999999999563,0.0,0.0
24918,30,-167.59999999999476,1001,-3.3000000000000016,-167.59999999999476,0.0,0.0
34046,40,-197.99999999999304,1001,-3.1000000000000014,-197.99999999999304,0.0,0.0
42945,50,-229.39999999999125,880,-3.3000000000000016,-229.39999999999125,0.0,0.0
52118,60,-259.8999999999906,1001,-2.9000000000000012,-259.8999999999906,0.0,0.0
61669,70,-291.0999999999977,1001,-4.200000000000001,-291.0999999999977,0.0,0.0
71166,80,-322.8000000000049,1001,-3.700000000000002,-322.8000000000049,0.0,0.0
80823,90,-355.60000000001236,1001,-3.700000000000002,-355.60000000001236,0.0,0.0
90014,100,-384.3000000000189,551,-1.3,-384.3000000000189,0.0,0.0
108163,120,-446.8000000000331,833,-3.1000000000000014,-446.8000000000331,0.0,0.0
127267,140,-512.800000000048,1001,-4.300000000000001,-512.800000000048,0.0,0.0
155918,170,-605.100000000069,1001,-3.5000000000000018,-605.100000000069,0.0,0.0
183983,200,-700.8000000000908,948,-2.800000000000001,-700.8000000000908,0.0,0.0
229407,250,-853.0000000001254,1001,-3.4000000000000017,-853.0000000001254,0.0,0.0
276490,300,-1003.9000000001597,1001,-2.500000000000001,-1003.9000000001597,0.0,0.0
368716,400,-1310.3999999999037,832,-2.800000000000001,-1310.3999999999037,0.0,0.0
462293,500,-1624.6999999996178,1001,-3.700000000000002,-1624.6999999996178,0.0,0.0
555671,600,-1933.6999999993368,1001,-3.4000000000000017,-1933.6999999993368,0.0,0.0
648764,700,-2253.0999999990463,903,-4.100000000000001,-2253.0999999990463,0.0,0.0
741298,800,-2563.499999998764,1001,-3.900000000000002,-2563.499999998764,0.0,0.0
837765,900,-2881.099999998475,997,-3.900000000000002,-2881.099999998475,0.0,0.0
931363,1000,-3195.599999998189,1001,-3.600000000000002,-3195.599999998189,0.0,0.0
