steps,episode,total_return,episode_len,episode_return,raw_return,total_upright,best_episode
132,1,-9.099999999999984,132,-9.099999999999984,-9.099999999999984,0.0,0.0
337,2,-16.79999999999997,205,-7.699999999999989,-16.79999999999997,0.0,0.0
622,3,-26.900000000000112,285,-10.09999999999998,-26.900000000000112,0.0,0.0
942,4,-45.00000000000037,320,-18.099999999999987,-45.00000000000037,0.0,0.0
1370,5,-53.800000000000495,428,-8.799999999999985,-53.800000000000495,0.0,0.0
1878,6,-74.40000000000005,508,-20.600000000000023,-74.40000000000005,0.0,0.0
2193,7,-81.69999999999963,315,-7.29999999999999,-81.69999999999963,0.0,0.0
3135,8,-111.89999999999792,942,-30.20000000000016,-111.89999999999792,0.0,0.0
4136,9,-115.29999999999772,1001,-3.4000000000000017,-115.29999999999772,0.0,0.0
5017,10,-117.89999999999758,881,-2.600000000000001,-117.89999999999758,0.0,0.0
6602,12,-121.89999999999735,584,-1.8000000000000005,-121.89999999999735,0.0,0.0
8571,14,-130.59999999999687,968,-5.299999999999997,-130.59999999999687,0.0,0.0
11305,17,-141.69999999999624,732,-3.0000000000000013,-141.69999999999624,0.0,0.0
13738,20,-150.29999999999575,948,-4.4,-150.29999999999575,0.0,0.0
18541,25,-166.49999999999483,806,-2.2000000000000006,-166.49999999999483,0.0,0.0
23271,30,-181.69999999999396,1001,-3.0000000000000013,-181.69999999999396,0.0,0.0
32079,40,-210.9999999999923,1001,-3.600000000000002,-210.9999999999923,0.0,0.0
41417,50,-243.99999999999042,1001,-3.0000000000000013,-243.99999999999042,0.0,0.0
49737,60,-272.9999999999936,706,-2.700000000000001,-272.9999999999936,0.0,0.0
59638,70,-303.70000000000056,1001,-4.200000000000001,-303.70000000000056,0.0,0.0
68276,80,-332.8000000000072,1001,-4.200000000000001,-332.8000000000072,0.0,0.0
77717,90,-363.7000000000142,687,-1.4000000000000001,-363.7000000000142,0.0,0.0
87266,100,-396.10000000002157,1001,-3.800000000000002,-396.10000000002157,0.0,0.0
105601,120,-457.10000000003544,1001,-3.3000000000000016,-457.10000000003544,0.0,0.0
123564,140,-519.8000000000496,854,-2.700000000000001,-519.8000000000496,0.0,0.0
151680,170,-611.6000000000705,1001,-2.600000000000001,-611.6000000000705,0.0,0.0
180205,200,-707.7000000000924,1001,-4.200000000000001,-707.7000000000924,0.0,0.0
226827,250,-864.8000000001281,971,-4.999999999999998,-864.8000000001281,0.0,0.0
272859,300,-1012.3000000001616,860,-3.3000000000000016,-1012.3000000001616,0.0,0.0
363975,400,-1312.6999999999016,1001,-3.5000000000000018,-1312.6999999999016,0.0,0.0
458971,500,-1633.0999999996102,1001,-3.3000000000000016,-1633.0999999996102,0.0,0.0
550030,600,-1933.1999999993373,1001,-3.700000000000002,-1933.1999999993373,0.0,0.0
642867,700,-2251.7999999990475,1001,-3.4000000000000017,-2251.7999999990475,0.0,0.0
735684,800,-2563.0999999987644,1001,-3.5000000000000018,-2563.0999999987644,0.0,0.0
832160,900,-2881.299999998475,962,-4.000000000000002,-2881.299999998475,0.0,0.0
924282,1000,-3191.5999999981927,1001,-2.3000000000000007,-3191.5999999981927,0.0,0.0
