steps,episode,total_return,episode_len,episode_return,total_bad_episodes,denoised_return
36,1,-0.005,36,-0.005,1,0
72,2,-0.010277777777777778,36,-0.005277777777777778,2,0
108,3,-0.015277777777777779,36,-0.005,3,0
144,4,-0.02055555555555553,36,-0.005277777777777778,4,0
180,5,-0.025833333333333274,36,-0.005277777777777778,5,0
216,6,-0.03111111111111102,36,-0.005277777777777778,6,0
252,7,-0.03611111111111105,36,-0.005,7,0
288,8,-0.040277777777777746,36,-0.004166666666666667,8,0
324,9,-0.04416666666666666,36,-0.003888888888888889,9,0
360,10,-0.05027777777777781,36,-0.006111111111111111,10,0
432,12,-1.195156308977559,36,-1.1404340867553369,12,0
504,14,-1.204600753422005,36,-0.0044444444444444444,14,0
612,17,-1.2196007534220072,36,-0.005,17,0
720,20,0.851216585049968,36,2.0813728940275333,20,0
900,25,-1.762396861966735,36,-1.3468294345204832,25,0
1080,30,-4.412279981135647,36,-1.3310462458019707,30,0
1440,40,-2.90532497181027,36,-0.004722222222222222,40,0
1800,50,-2.94865830514361,36,-0.0044444444444444444,50,0
2160,60,-2.993936082921395,36,-0.005277777777777778,60,0
2520,70,-3.0394916384769575,36,-0.0044444444444444444,70,0
2880,80,-3.0858805273658536,36,-0.0044444444444444444,80,0
3240,90,-2.567152614305213,36,-0.004722222222222222,90,0
3600,100,-2.608819280971886,36,-0.004166666666666667,100,0
4320,120,-2.7018748365274563,36,-0.005,120,0
5040,140,-2.7949303920830264,36,-0.003888888888888889,139,0
6120,170,-7.931327452064617,36,-0.5002633876513528,168,0
7200,200,-8.450971491596114,36,-0.005555555555555556,198,0
9000,250,-8.702360380484238,36,-0.005277777777777778,247,0
10800,300,-3.07005380364078,36,-0.40208688316576996,297,0
14400,400,13.675532738742765,36,0.21584348138203807,396,0
18000,500,9.693419042993243,36,0.08538373300760403,493,0
21600,600,8.20486391465642,36,-2.0601396241869194,591,0
25200,700,5.264151899023917,36,-0.005555555555555556,688,0
28800,800,4.988911152780871,36,-0.0044444444444444444,785,0
32400,900,4.509188930558574,36,-0.004722222222222222,883,0
36000,1000,4.013355597225163,36,-0.004722222222222222,981,0
43200,1200,1.5547589994425348,36,-0.005555555555555556,1179,0
50400,1400,0.8339547056413317,36,-0.0044444444444444444,1376,0
61200,1700,-6.612927614346663,36,-0.005,1666,0
72000,2000,-8.127927614346492,36,-0.005,1958,0
90000,2500,0.4032738583301065,36,0.30491195264654003,2443,0
108000,3000,-15.48857573453026,36,0.747132295265985,2933,0
144000,4000,-27.376467478735034,36,-0.005277777777777778,3902,0
180000,5000,-28.557656893994924,36,-0.005,4871,0
216000,6000,-37.61966248612352,36,-0.29608993238637066,5835,0
252000,7000,-43.19004660855102,36,-1.0445584383172228,6805,0
288000,8000,-70.93023289981576,36,-0.005833333333333334,7773,0
324000,9000,-91.52169340176607,36,-0.005277777777777778,8754,0
360000,10000,-106.47802467801695,36,-0.006666666666666667,9719,0
